company,contactName,contactRole,email,phone,altPhone,industry,address,city,state,postalCode,country,timezone,companySize,employeeCount,locationCount,annualRevenue,yearFounded,originalWebsite,currentWebsite,googleRating,googleReviewCount,googleMapsUrl,instagramUrl,facebookUrl,linkedinUrl,source,status,personalisedColdEmail,mockupEmail,personalizedObservation,salesNote,notes,tags,doNotContact,doNotContactReason,leadScore,vercelPassword,invoicePdfUrl,painPoints,painPoint1,painPoint2,painPoint3,essentialPoint1,essentialPoint2,essentialPoint3,upsellPoint1,upsellPoint2,estimatedValue,lowestEstimate,highestEstimate,dateAdded,mockupUrl,clientTakenOn,nextFollowUp,assignedTo
McReynolds Horticulture and Design,,,percy@mcreynoldshorticulture.com,(865) 356-7050,,Landscape design build,,Knoxville,TN,,USA,America/New_York,small,,,,,https://mcreynoldshorticulture.com,"Portfolio images are too small and too slow to do six-figure work justice. No project budget bands, and a plain contact form as the only way to start.",,,,,,,cold-outreach,researched,"Subject: the inquiry that arrives vague

Hi [First Name],

Went through McReynolds Horticulture and Design's work the way a homeowner commissioning a garden does. It's beautiful. It's also one long scroll — no way to narrow by style, scale or budget, and nothing about what design costs.

And the inquiries that land are vague, so the first call is about scope instead of the garden.

Projects filterable by style, scale and budget. The design process spelled out so the brief arrives specific.

I'd like to build it and show you. One homepage, designed for McReynolds Horticulture and Design, free. Not a template with your logo on it. The real thing, and it's yours whether we work together or not.

Want it?

[Sender Name]
Bothmade","Subject: here it is

Here it is — McReynolds Horticulture and Design, as promised.

Projects filterable by style, scale and budget band, with the design process spelled out — so the brief that reaches you already knows what it's asking for.

It's a design, not a build — nothing clicks yet. Didn't want to fake a demo.

One question: would publishing a design fee range help you or cost you?

[Sender Name]","design-led buyers choose from images and yours cannot be narrowed by style, scale or budget",Address published by the business itself — verified in research. Phone from a published listing.,"Landscape design build in Knoxville, TN. Researched 6 Aug 2026; email confirmed on a published listing, phone confirmed on a published listing.",field-run-011;landscape-design-build;TN;confirmed-email;has-phone,false,,85,,,"not-mobile-friendly,outdated-design,weak-branding",The portfolio does not look like the work: high-end landscape is bought on images and the images are small and slow.,No project budget guidance: the difference between a planting plan and a full build is fifty thousand dollars and the site says neither.,No way to start a conversation properly: a contact form for a six-figure project.,"Portfolio that does the work justice: large, fast, phone-first, by project type.",Project budget bands stated: so the enquiries match the work you want.,Consultation booking with the right questions asked up front.,Design package sold online: a paid first step that qualifies hard.,Maintenance contracts online: recurring revenue off the builds you already did.,9000,"$5,000","$16,000",06082026,,,,
Diba Med Spa,,,diba@dibamedspa.com,(559) 540-0000,,Med spa,,Fresno,CA,,USA,America/Los_Angeles,small,,,,,https://dibamedspa.com,"Reviews and treatment photos do the selling and both sit below a phone number that stops answering at five. No online booking, no prices, and the whole thing was built for a desktop.",,,,,,,cold-outreach,researched,"Subject: she booked somewhere else

Hi [First Name],

Found Diba Med Spa at 9pm on my phone, the way your next client will. The reviews sold me in about forty seconds. Then the only way to book was a phone number and a front desk that shut at five.

That's the sale, right there. She books wherever the button is, and you never find out you lost her.

Booking belongs on the homepage, next to the reviews, working at midnight.

I'd like to build it and show you. One homepage, designed for Diba Med Spa, free. Not a template with your logo on it. The real thing, and it's yours whether we work together or not.

Worth a look? One word back and I'll start.

[Sender Name]
Bothmade","Subject: built it

Here it is — Diba Med Spa, as promised.

Booking sits on the homepage next to your reviews. Two taps to Thursday at six. That's the part your site can't do tonight.

It's a design, not a build — nothing clicks yet. Didn't want to fake a demo.

One thing I'd want your answer on: is membership what you'd push hardest here, or first-visit tox?

[Sender Name]",the reviews do the selling and the booking is a phone number that stops answering at five,Address published by the business itself — verified in research. Phone from a published listing.,"Med spa in Fresno, CA. Researched 6 Aug 2026; email confirmed on a published listing, phone confirmed on a published listing.",field-run-011;med-spa;CA;confirmed-email;has-phone,false,,85,,,"no-booking,not-mobile-friendly,outdated-design","No booking after hours: the decision to book happens at nine at night on a phone, and the only way in is a front desk that shut at five.","Treatments with no prices: she has to ring and ask what tox costs, which is the one call a first-timer will not make.",Reviews doing the selling on the wrong page: the thing that closes her is two clicks from where she lands.,"Booking on the homepage: live at midnight, two taps, no phone call.",Treatment menu with prices: stated plainly so nobody has to ring to find out.,Reviews beside the booking button: the proof and the action on one screen.,Membership signup online: recurring revenue that does not need the front desk.,Automated reminders and rebooking: fewer no-shows without anybody chasing.,10000,"$5,000","$18,000",06082026,,,,
Between The Edges,,,tracy@betweentheedges.com,(803) 278-1888,,Landscape design build,,Augusta,GA,,USA,America/New_York,small,,,,,https://betweentheedges.com,"Portfolio images are too small and too slow to do six-figure work justice. No project budget bands, and a plain contact form as the only way to start.",,,,,,,cold-outreach,researched,"Subject: your gardens, sorted

Hi [First Name],

Went through Between The Edges' work the way a homeowner commissioning a garden does. It's beautiful. It's also one long scroll — no way to narrow by style, scale or budget, and nothing about what design costs.

And the inquiries that land are vague, so the first call is about scope instead of the garden.

Projects filterable by style, scale and budget. The design process spelled out so the brief arrives specific.

Let me build it for you. A real homepage for Between The Edges, on me, before we ever talk money. If it's good you'll know in ten seconds. If it isn't, you've lost nothing.

Worth a look? One word back and I'll start.

[Sender Name]
Bothmade","Subject: here it is

Here it is — Between The Edges, as promised.

Projects filterable by style, scale and budget band, with the design process spelled out — so the brief that reaches you already knows what it's asking for.

It's a design, not a build — nothing clicks yet. Didn't want to fake a demo.

One question: would publishing a design fee range help you or cost you?

[Sender Name]","design-led buyers choose from images and yours cannot be narrowed by style, scale or budget",Address published by the business itself — verified in research. Phone from a published listing.,"Landscape design build in Augusta, GA. Researched 6 Aug 2026; email confirmed on a published listing, phone confirmed on a published listing.",field-run-011;landscape-design-build;GA;confirmed-email;has-phone,false,,85,,,"not-mobile-friendly,outdated-design,weak-branding",The portfolio does not look like the work: high-end landscape is bought on images and the images are small and slow.,No project budget guidance: the difference between a planting plan and a full build is fifty thousand dollars and the site says neither.,No way to start a conversation properly: a contact form for a six-figure project.,"Portfolio that does the work justice: large, fast, phone-first, by project type.",Project budget bands stated: so the enquiries match the work you want.,Consultation booking with the right questions asked up front.,Design package sold online: a paid first step that qualifies hard.,Maintenance contracts online: recurring revenue off the builds you already did.,9000,"$5,000","$16,000",06082026,,,,
The Spa Lubbock,,,info@thespalubbock.com,(806) 701-5840,,Med spa,,Lubbock,TX,,USA,America/Chicago,small,,,,,https://thespalubbock.com,"Reviews and treatment photos do the selling and both sit below a phone number that stops answering at five. No online booking, no prices, and the whole thing was built for a desktop.",,,,,,,cold-outreach,researched,"Subject: the booking you lost last night

Hi [First Name],

Found The Spa Lubbock at 9pm on my phone, the way your next client will. The reviews sold me in about forty seconds. Then the only way to book was a phone number and a front desk that shut at five.

She doesn't call in the morning. She books the spa that let her book at 9pm.

Booking belongs on the homepage, next to the reviews, working at midnight.

Let me build it for you. A real homepage for The Spa Lubbock, on me, before we ever talk money. If it's good you'll know in ten seconds. If it isn't, you've lost nothing.

Worth a look? One word back and I'll start.

[Sender Name]
Bothmade","Subject: built it

Here it is — The Spa Lubbock, as promised.

Booking sits on the homepage next to your reviews. Two taps to Thursday at six. That's the part your site can't do tonight.

It's a design, not a build — nothing clicks yet. Didn't want to fake a demo.

One thing I'd want your answer on: is membership what you'd push hardest here, or first-visit tox?

[Sender Name]",the reviews do the selling and the booking is a phone number that stops answering at five,Address published by the business itself — verified in research. Phone from a published listing.,"Med spa in Lubbock, TX. Researched 6 Aug 2026; email confirmed on a published listing, phone confirmed on a published listing.",field-run-011;med-spa;TX;confirmed-email;has-phone,false,,85,,,"no-booking,not-mobile-friendly,outdated-design","No booking after hours: the decision to book happens at nine at night on a phone, and the only way in is a front desk that shut at five.","Treatments with no prices: she has to ring and ask what tox costs, which is the one call a first-timer will not make.",Reviews doing the selling on the wrong page: the thing that closes her is two clicks from where she lands.,"Booking on the homepage: live at midnight, two taps, no phone call.",Treatment menu with prices: stated plainly so nobody has to ring to find out.,Reviews beside the booking button: the proof and the action on one screen.,Membership signup online: recurring revenue that does not need the front desk.,Automated reminders and rebooking: fewer no-shows without anybody chasing.,10000,"$5,000","$18,000",06082026,,,,
American Laser Med Spa Lubbock,,,lubbock@americanlaser-medspa.com,(806) 793-7700,,Med spa,,Lubbock,TX,,USA,America/Chicago,small,,,,,https://americanlasermedspa.com,"Reviews and treatment photos do the selling and both sit below a phone number that stops answering at five. No online booking, no prices, and the whole thing was built for a desktop.",,,,,,,cold-outreach,researched,"Subject: the booking you lost last night

Hi [First Name],

Found American Laser Med Spa Lubbock at 9pm on my phone, the way your next client will. The reviews sold me in about forty seconds. Then the only way to book was a phone number and a front desk that shut at five.

A booking a night walks that way. Silently. No missed call, no voicemail, nothing to review on Monday.

Booking belongs on the homepage, next to the reviews, working at midnight.

Let me build it for you. A real homepage for American Laser Med Spa Lubbock, on me, before we ever talk money. If it's good you'll know in ten seconds. If it isn't, you've lost nothing.

Want me to build it?

[Sender Name]
Bothmade","Subject: American Laser Med Spa Lubbock — built it

Built it. Here.

Booking sits on the homepage next to your reviews. Two taps to Thursday at six. That's the part your site can't do tonight.

It's a design, not a build — nothing clicks yet. Didn't want to fake a demo.

One thing I'd want your answer on: is membership what you'd push hardest here, or first-visit tox?

[Sender Name]",the reviews do the selling and the booking is a phone number that stops answering at five,Address published by the business itself — verified in research. Phone from a published listing.,"Med spa in Lubbock, TX. Researched 6 Aug 2026; email confirmed on a published listing, phone confirmed on a published listing.",field-run-011;med-spa;TX;confirmed-email;has-phone,false,,85,,,"no-booking,not-mobile-friendly,outdated-design","No booking after hours: the decision to book happens at nine at night on a phone, and the only way in is a front desk that shut at five.","Treatments with no prices: she has to ring and ask what tox costs, which is the one call a first-timer will not make.",Reviews doing the selling on the wrong page: the thing that closes her is two clicks from where she lands.,"Booking on the homepage: live at midnight, two taps, no phone call.",Treatment menu with prices: stated plainly so nobody has to ring to find out.,Reviews beside the booking button: the proof and the action on one screen.,Membership signup online: recurring revenue that does not need the front desk.,Automated reminders and rebooking: fewer no-shows without anybody chasing.,10000,"$5,000","$18,000",06082026,,,,
Splash Custom Pools and Spas,,,contact@splashcustompools.com,(920) 465-8100,,Pool building,,Green Bay,WI,,USA,America/Chicago,small,,,,,https://splashcustompools.com,"Build gallery buried under service copy. No starting price, so the enquiries are unqualified, and nothing holds the February looker until they buy in May.",,,,,,,cold-outreach,researched,"Subject: what does one like mine cost

Hi [First Name],

Your builds look excellent. I went looking for one like mine and scrolled past sixty that weren't. Then couldn't find a starting number.

So they call whoever showed them a pool like theirs, with a number attached.

Gallery filterable by size, style and budget. A starting number said out loud.

Here's my offer. I'll design that page for Splash Custom Pools and Spas and send it over. No charge, no meeting to get it, no invoice at the end. Keep it either way — I'd rather you saw the work than read about it.

Want it?

[Sender Name]
Bothmade","Subject: Splash Custom Pools and Spas — built it

Built it. Here.

Builds filterable by size, style and budget band, with a starting range stated plainly and a timeline from signing to swimming.

Static design, so nothing on it works yet. I'd rather show you the real idea than a fake demo.

One question: would you publish a starting price, or does that cost you more than it wins?

[Sender Name]","the gallery cannot be sorted, so nobody finds a build that looks like their own yard",Address published by the business itself — verified in research. Phone from a published listing.,"Pool building in Green Bay, WI. Researched 6 Aug 2026; email confirmed on a published listing, phone confirmed on a published listing.",field-run-011;pool-building;WI;confirmed-email;has-phone,false,,85,,,"not-mobile-friendly,outdated-design,weak-branding",The build gallery is what sells and it is buried: nobody buys a pool from a spec list.,No price band anywhere: a homeowner has no idea whether you build forty-thousand pools or hundred-and-forty.,"A season-long sales cycle with nothing to hold the enquiry: they look in February and buy in May, from whoever stayed in front of them.","Build gallery front and centre: full-bleed, phone-first, filterable by style.",A starting price said out loud: so the enquiries you get are ones you want.,Consultation booking online: at the hour people daydream about this.,Design visualiser or 3D walkthrough: the thing that closes the February looker.,Service and maintenance signup: revenue after the build is paid for.,10000,"$5,000","$18,000",06082026,,,,
Cherrytree Kitchens,,,info@cherrytreekitchens.com,(309) 897-2030,,Kitchen and bath remodeling,,Peoria,IL,,USA,America/Chicago,small,,,,,https://cherrytreekitchens.com,"Before-and-afters are the pitch and they are hard to reach on a phone. No budget guidance at all, so every enquiry opens with a conversation about whether they can afford you.",,,,,,,cold-outreach,researched,"Subject: quoting jobs that were never real

Hi [First Name],

Your before-and-afters sell this. They're in a small gallery you can't filter, so the woman with a galley kitchen never finds your galley kitchen.

So you spend Tuesday evening quoting jobs that were never real, and the real one went to whoever answered first.

Projects filterable by room, style and budget. A form that asks about the job, so it arrives ready to quote.

Here's my offer. I'll design that page for Cherrytree Kitchens and send it over. No charge, no meeting to get it, no invoice at the end. Keep it either way — I'd rather you saw the work than read about it.

Say yes and it's yours by Friday.

[Sender Name]
Bothmade","Subject: built it

Here it is — Cherrytree Kitchens, as promised.

Before-and-afters filterable by room, style and budget band. The inquiry asks about the room, the scope and the timing — so it lands ready to quote instead of ready to interview.

Static design, so nothing on it works yet. I'd rather show you the real idea than a fake demo.

One question: what do you wish every inquiry told you before you called them back?

[Sender Name]",before-and-afters are what sell this and they sit in a gallery nobody can filter,Address published by the business itself — verified in research. Phone from a published listing.,"Kitchen and bath remodeling in Peoria, IL. Researched 6 Aug 2026; email confirmed on a published listing, phone confirmed on a published listing.",field-run-011;kitchen-and-bath-remodeling;IL;confirmed-email;has-phone,false,,85,,,"not-mobile-friendly,outdated-design,no-booking",Before-and-afters are the whole pitch and they are hard to reach: a remodel is bought with the eyes.,No budget guidance at all: every enquiry starts with a conversation about whether they can afford you.,No way to book a consultation: the form goes to an inbox and the momentum dies over the weekend.,"Before-and-after galleries by room: sized for a phone, quick to scroll.","Budget ranges stated: typical spend for a kitchen and for a bath, plainly.",Consultation booking online: while they are still looking at the photos.,"Design questionnaire before the visit: a shorter, better first meeting.",Financing pre-qualification: the objection handled before you drive out there.,8500,"$4,000","$15,000",06082026,,,,
The Bath Connection,,,thebathconnection@yahoo.com,(309) 685-5405,,Kitchen and bath remodeling,,Peoria,IL,,USA,America/Chicago,small,,,,,https://the-bathconnection.com,"Before-and-afters are the pitch and they are hard to reach on a phone. No budget guidance at all, so every enquiry opens with a conversation about whether they can afford you.",,,,,,,cold-outreach,researched,"Subject: the tire-kicker problem

Hi [First Name],

Your before-and-afters sell this. They're in a small gallery you can't filter, so the woman with a galley kitchen never finds your galley kitchen.

So you spend Tuesday evening quoting jobs that were never real, and the real one went to whoever answered first.

Projects filterable by room, style and budget. A form that asks about the job, so it arrives ready to quote.

So here's what I'll do. I'll build The Bath Connection that homepage. Free. Not a slide, not a proposal — the actual page, designed for your business. Yours to keep whether you hire me or not.

Should I send it over?

[Sender Name]
Bothmade","Subject: built it

Here it is — The Bath Connection, as promised.

Before-and-afters filterable by room, style and budget band. The inquiry asks about the room, the scope and the timing — so it lands ready to quote instead of ready to interview.

Static design, so nothing on it works yet. I'd rather show you the real idea than a fake demo.

One question: what do you wish every inquiry told you before you called them back?

[Sender Name]",before-and-afters are what sell this and they sit in a gallery nobody can filter,Address published by the business itself — verified in research. Phone from a published listing.,"Kitchen and bath remodeling in Peoria, IL. Researched 6 Aug 2026; email confirmed on a published listing, phone confirmed on a published listing.",field-run-011;kitchen-and-bath-remodeling;IL;confirmed-email;has-phone,false,,85,,,"not-mobile-friendly,outdated-design,no-booking",Before-and-afters are the whole pitch and they are hard to reach: a remodel is bought with the eyes.,No budget guidance at all: every enquiry starts with a conversation about whether they can afford you.,No way to book a consultation: the form goes to an inbox and the momentum dies over the weekend.,"Before-and-after galleries by room: sized for a phone, quick to scroll.","Budget ranges stated: typical spend for a kitchen and for a bath, plainly.",Consultation booking online: while they are still looking at the photos.,"Design questionnaire before the visit: a shorter, better first meeting.",Financing pre-qualification: the objection handled before you drive out there.,8500,"$4,000","$15,000",06082026,,,,
Kitchen & Bath Specialties by Contractors Plus,,,joelaverdiere@yahoo.com,(309) 208-7211,,Kitchen and bath remodeling,,Peoria,IL,,USA,America/Chicago,small,,,,,https://peoriabathremodeling.com,"Before-and-afters are the pitch and they are hard to reach on a phone. No budget guidance at all, so every enquiry opens with a conversation about whether they can afford you.",,,,,,,cold-outreach,researched,"Subject: your before-and-afters

Hi [First Name],

Your before-and-afters sell this. They're in a small gallery you can't filter, so the woman with a galley kitchen never finds your galley kitchen.

So you spend Tuesday evening quoting jobs that were never real, and the real one went to whoever answered first.

Projects filterable by room, style and budget. A form that asks about the job, so it arrives ready to quote.

Here's my offer. I'll design that page for Kitchen & Bath Specialties by Contractors Plus and send it over. No charge, no meeting to get it, no invoice at the end. Keep it either way — I'd rather you saw the work than read about it.

Want me to build it?

[Sender Name]
Bothmade","Subject: here it is

Here it is.

Before-and-afters filterable by room, style and budget band. The inquiry asks about the room, the scope and the timing — so it lands ready to quote instead of ready to interview.

Static design, so nothing on it works yet. I'd rather show you the real idea than a fake demo.

One question: what do you wish every inquiry told you before you called them back?

[Sender Name]",before-and-afters are what sell this and they sit in a gallery nobody can filter,Address published by the business itself — verified in research. Phone from a published listing.,"Kitchen and bath remodeling in Peoria, IL. Researched 6 Aug 2026; email confirmed on a published listing, phone confirmed on a published listing.",field-run-011;kitchen-and-bath-remodeling;IL;confirmed-email;has-phone,false,,85,,,"not-mobile-friendly,outdated-design,no-booking",Before-and-afters are the whole pitch and they are hard to reach: a remodel is bought with the eyes.,No budget guidance at all: every enquiry starts with a conversation about whether they can afford you.,No way to book a consultation: the form goes to an inbox and the momentum dies over the weekend.,"Before-and-after galleries by room: sized for a phone, quick to scroll.","Budget ranges stated: typical spend for a kitchen and for a bath, plainly.",Consultation booking online: while they are still looking at the photos.,"Design questionnaire before the visit: a shorter, better first meeting.",Financing pre-qualification: the objection handled before you drive out there.,8500,"$4,000","$15,000",06082026,,,,
OM Med Spa,,,info@ommedspa.com,(208) 917-2782,,Med spa,,Boise,ID,,USA,America/Boise,small,,,,,https://ommedspa.com,"Reviews and treatment photos do the selling and both sit below a phone number that stops answering at five. No online booking, no prices, and the whole thing was built for a desktop.",,,,,,,cold-outreach,researched,"Subject: reviews vs booking button

Hi [First Name],

Your reviews do the selling. I read them on my phone at 9pm in Boise and I was sold. Then I hit a phone number and office hours.

She doesn't call in the morning. She books the spa that let her book at 9pm.

Treatments priced, bookable in two taps, reviews right beside them.

Here's my offer. I'll design that page for OM Med Spa and send it over. No charge, no meeting to get it, no invoice at the end. Keep it either way — I'd rather you saw the work than read about it.

Say yes and it's yours by Friday.

[Sender Name]
Bothmade","Subject: OM Med Spa — built it

Built it. Here.

Treatments priced, bookable in two taps, reviews doing the closing right beside them. Memberships obvious instead of three pages deep.

Static design, so nothing on it works yet. I'd rather show you the real idea than a fake demo.

One question: would you let a new client book without a consult call first?

[Sender Name]",the reviews do the selling and the booking is a phone number that stops answering at five,"info@ on their own domain — the convention, right most of the time. Phone from a published listing. Worth a check before a big send.","Med spa in Boise, ID. Researched 6 Aug 2026; email inferred as info@ on their verified domain, phone confirmed on a published listing.",field-run-011;med-spa;ID;convention-email;has-phone,false,,75,,,"no-booking,not-mobile-friendly,outdated-design","No booking after hours: the decision to book happens at nine at night on a phone, and the only way in is a front desk that shut at five.","Treatments with no prices: she has to ring and ask what tox costs, which is the one call a first-timer will not make.",Reviews doing the selling on the wrong page: the thing that closes her is two clicks from where she lands.,"Booking on the homepage: live at midnight, two taps, no phone call.",Treatment menu with prices: stated plainly so nobody has to ring to find out.,Reviews beside the booking button: the proof and the action on one screen.,Membership signup online: recurring revenue that does not need the front desk.,Automated reminders and rebooking: fewer no-shows without anybody chasing.,10000,"$5,000","$18,000",06082026,,,,
Spa 35 Med Spa,,,info@spa35.com,(208) 367-0700,,Med spa,,Boise,ID,,USA,America/Boise,small,,,,,https://spa35.com,"Reviews and treatment photos do the selling and both sit below a phone number that stops answering at five. No online booking, no prices, and the whole thing was built for a desktop.",,,,,,,cold-outreach,researched,"Subject: your 9pm bookings

Hi [First Name],

Found Spa 35 Med Spa at 9pm on my phone, the way your next client will. The reviews sold me in about forty seconds. Then the only way to book was a phone number and a front desk that shut at five.

A booking a night walks that way. Silently. No missed call, no voicemail, nothing to review on Monday.

Treatments priced, bookable in two taps, reviews right beside them.

So here's what I'll do. I'll build Spa 35 Med Spa that homepage. Free. Not a slide, not a proposal — the actual page, designed for your business. Yours to keep whether you hire me or not.

Say yes and it's yours by Friday.

[Sender Name]
Bothmade","Subject: built it

Here it is.

Treatments priced, bookable in two taps, reviews doing the closing right beside them. Memberships obvious instead of three pages deep.

Static design, so nothing on it works yet. I'd rather show you the real idea than a fake demo.

One question: would you let a new client book without a consult call first?

[Sender Name]",the reviews do the selling and the booking is a phone number that stops answering at five,"info@ on their own domain — the convention, right most of the time. Phone from a published listing. Worth a check before a big send.","Med spa in Boise, ID. Researched 6 Aug 2026; email inferred as info@ on their verified domain, phone confirmed on a published listing.",field-run-011;med-spa;ID;convention-email;has-phone,false,,75,,,"no-booking,not-mobile-friendly,outdated-design","No booking after hours: the decision to book happens at nine at night on a phone, and the only way in is a front desk that shut at five.","Treatments with no prices: she has to ring and ask what tox costs, which is the one call a first-timer will not make.",Reviews doing the selling on the wrong page: the thing that closes her is two clicks from where she lands.,"Booking on the homepage: live at midnight, two taps, no phone call.",Treatment menu with prices: stated plainly so nobody has to ring to find out.,Reviews beside the booking button: the proof and the action on one screen.,Membership signup online: recurring revenue that does not need the front desk.,Automated reminders and rebooking: fewer no-shows without anybody chasing.,10000,"$5,000","$18,000",06082026,,,,
Silk Touch Cosmetic Surgery & Medspa,,,info@silktouchmedspa.com,(208) 939-3110,,Med spa,,Boise,ID,,USA,America/Boise,small,,,,,https://silktouchmedspa.com,"Reviews and treatment photos do the selling and both sit below a phone number that stops answering at five. No online booking, no prices, and the whole thing was built for a desktop.",,,,,,,cold-outreach,researched,"Subject: reviews vs booking button

Hi [First Name],

Looked you up the way a new client does — evening, phone, already decided she wants tox, just picking where. Silk Touch Cosmetic Surgery & Medspa won on reviews. Then booking meant calling in the morning.

A booking a night walks that way. Silently. No missed call, no voicemail, nothing to review on Monday.

Treatments priced, bookable in two taps, reviews right beside them.

Here's my offer. I'll design that page for Silk Touch Cosmetic Surgery & Medspa and send it over. No charge, no meeting to get it, no invoice at the end. Keep it either way — I'd rather you saw the work than read about it.

Want it?

[Sender Name]
Bothmade","Subject: built it

Here it is — Silk Touch Cosmetic Surgery & Medspa, as promised.

Treatments priced, bookable in two taps, reviews doing the closing right beside them. Memberships obvious instead of three pages deep.

Static design, so nothing on it works yet. I'd rather show you the real idea than a fake demo.

One question: would you let a new client book without a consult call first?

[Sender Name]",the reviews do the selling and the booking is a phone number that stops answering at five,"info@ on their own domain — the convention, right most of the time. Phone from a published listing. Worth a check before a big send.","Med spa in Boise, ID. Researched 6 Aug 2026; email inferred as info@ on their verified domain, phone confirmed on a published listing.",field-run-011;med-spa;ID;convention-email;has-phone,false,,75,,,"no-booking,not-mobile-friendly,outdated-design","No booking after hours: the decision to book happens at nine at night on a phone, and the only way in is a front desk that shut at five.","Treatments with no prices: she has to ring and ask what tox costs, which is the one call a first-timer will not make.",Reviews doing the selling on the wrong page: the thing that closes her is two clicks from where she lands.,"Booking on the homepage: live at midnight, two taps, no phone call.",Treatment menu with prices: stated plainly so nobody has to ring to find out.,Reviews beside the booking button: the proof and the action on one screen.,Membership signup online: recurring revenue that does not need the front desk.,Automated reminders and rebooking: fewer no-shows without anybody chasing.,10000,"$5,000","$18,000",06082026,,,,
The Spa Boise,,,info@thespaboise.com,(208) 590-7721,,Med spa,,Boise,ID,,USA,America/Boise,small,,,,,https://thespaboise.com,"Reviews and treatment photos do the selling and both sit below a phone number that stops answering at five. No online booking, no prices, and the whole thing was built for a desktop.",,,,,,,cold-outreach,researched,"Subject: she booked somewhere else

Hi [First Name],

Looked you up the way a new client does — evening, phone, already decided she wants tox, just picking where. The Spa Boise won on reviews. Then booking meant calling in the morning.

She doesn't call in the morning. She books the spa that let her book at 9pm.

Booking belongs on the homepage, next to the reviews, working at midnight.

I'd like to build it and show you. One homepage, designed for The Spa Boise, free. Not a template with your logo on it. The real thing, and it's yours whether we work together or not.

Want me to build it?

[Sender Name]
Bothmade","Subject: built it

Built it. Here.

Booking sits on the homepage next to your reviews. Two taps to Thursday at six. That's the part your site can't do tonight.

It's a design, not a build — nothing clicks yet. Didn't want to fake a demo.

One thing I'd want your answer on: is membership what you'd push hardest here, or first-visit tox?

[Sender Name]",the reviews do the selling and the booking is a phone number that stops answering at five,"info@ on their own domain — the convention, right most of the time. Phone from a published listing. Worth a check before a big send.","Med spa in Boise, ID. Researched 6 Aug 2026; email inferred as info@ on their verified domain, phone confirmed on a published listing.",field-run-011;med-spa;ID;convention-email;has-phone,false,,75,,,"no-booking,not-mobile-friendly,outdated-design","No booking after hours: the decision to book happens at nine at night on a phone, and the only way in is a front desk that shut at five.","Treatments with no prices: she has to ring and ask what tox costs, which is the one call a first-timer will not make.",Reviews doing the selling on the wrong page: the thing that closes her is two clicks from where she lands.,"Booking on the homepage: live at midnight, two taps, no phone call.",Treatment menu with prices: stated plainly so nobody has to ring to find out.,Reviews beside the booking button: the proof and the action on one screen.,Membership signup online: recurring revenue that does not need the front desk.,Automated reminders and rebooking: fewer no-shows without anybody chasing.,10000,"$5,000","$18,000",06082026,,,,
Midtown Craftsmen,,,info@mtcrestoration.com,(616) 245-5970,,Kitchen and bath remodeling,,Grand Rapids,MI,,USA,America/Detroit,small,,,,,https://mtcrestoration.com,"Before-and-afters are the pitch and they are hard to reach on a phone. No budget guidance at all, so every enquiry opens with a conversation about whether they can afford you.",,,,,,,cold-outreach,researched,"Subject: the tire-kicker problem

Hi [First Name],

Your before-and-afters sell this. They're in a small gallery you can't filter, so the woman with a galley kitchen never finds your galley kitchen.

So you spend Tuesday evening quoting jobs that were never real, and the real one went to whoever answered first.

Projects filterable by room, style and budget. A form that asks about the job, so it arrives ready to quote.

Here's my offer. I'll design that page for Midtown Craftsmen and send it over. No charge, no meeting to get it, no invoice at the end. Keep it either way — I'd rather you saw the work than read about it.

Worth a look? One word back and I'll start.

[Sender Name]
Bothmade","Subject: here it is

Here it is.

Before-and-afters filterable by room, style and budget band. The inquiry asks about the room, the scope and the timing — so it lands ready to quote instead of ready to interview.

Static design, so nothing on it works yet. I'd rather show you the real idea than a fake demo.

One question: what do you wish every inquiry told you before you called them back?

[Sender Name]",before-and-afters are what sell this and they sit in a gallery nobody can filter,"info@ on their own domain — the convention, right most of the time. Phone from a published listing. Worth a check before a big send.","Kitchen and bath remodeling in Grand Rapids, MI. Researched 6 Aug 2026; email inferred as info@ on their verified domain, phone confirmed on a published listing.",field-run-011;kitchen-and-bath-remodeling;MI;convention-email;has-phone,false,,75,,,"not-mobile-friendly,outdated-design,no-booking",Before-and-afters are the whole pitch and they are hard to reach: a remodel is bought with the eyes.,No budget guidance at all: every enquiry starts with a conversation about whether they can afford you.,No way to book a consultation: the form goes to an inbox and the momentum dies over the weekend.,"Before-and-after galleries by room: sized for a phone, quick to scroll.","Budget ranges stated: typical spend for a kitchen and for a bath, plainly.",Consultation booking online: while they are still looking at the photos.,"Design questionnaire before the visit: a shorter, better first meeting.",Financing pre-qualification: the objection handled before you drive out there.,8500,"$4,000","$15,000",06082026,,,,
