company,contactRole,email,industry,city,state,country,originalWebsite,siteVerdict,source,status,personalisedColdEmail,mockupEmail,personalizedObservation,salesNote,tags,leadScore,Pain point 1,Pain point 2,Pain point 3,Essential point 1,Essential point 2,Essential point 3,Upsell point 1,Upsell point 2,painPointTags,estimatedValue,lowestEstimate,highestEstimate,dateAdded
Rulon International,VP of Sales,info@rulonco.com,Wood ceiling and wall systems,St. Augustine,FL,USA,https://www.rulonco.com,"Systems, wood species and finishes are three separate catalogues. Acoustic performance — the number that decides the job — lives in PDFs unconnected to the system it belongs to.",cold-outreach,researched,"Subject: The NRC number wins the job, and it's in a PDF

Hi [First Name],

I went through rulonco.com the way an architect finishing a library atrium would: a linear wood ceiling, an acoustician demanding NRC 0.70 or better, and a species that matches millwork already specified.

The work itself is the strongest argument on the site — the installations photograph beautifully and the range of systems is real.

But there's a structural problem underneath it that isn't anyone's fault. Systems, species and finishes are three separate catalogues, and what actually gets specified is always a combination of all three. Worse, the acoustic number that decides whether you're in or out lives in a PDF that isn't attached to the system it describes. So the architect who has been handed an NRC target — the one piece of information they arrive with — has no way to ask your website which of your systems meets it. They ask a rep, or they specify the competitor whose site told them.

I built one screen to show what it looks like when the acoustic number is the filter and the ceiling renders as they narrow. Inside your existing site, your brand untouched. Two minutes, and I won't chase you about it.

Want me to send it over?

[Sender Name]
Bothmade","Subject: Here it is

Here it is.

NRC target at the top, grille spacing and species down the left, and the ceiling above updates as you narrow. Every system carries its own acoustic data on the card rather than in a separate document, which is the bit that can't happen today.

It's a static design rather than a working build, so nothing clicks. I'd rather show you the idea honestly than fake a demo.

Two questions I'd genuinely like your view on, whether or not this goes anywhere: does the architect arrive with the NRC fixed and the look open, or the reverse? And is plenum depth a filter your team gets asked about often enough to put on here?

[Sender Name]","Your acoustic numbers decide the job, and they sit in PDFs that are not attached to the ceiling system they belong to.","Acoustics is the wedge — the visual side is what they think they sell, the NRC number is what actually closes the spec.",interiors;spec-data;field-run-002,85,"System, species and finish are three separate catalogues, and the specified thing is always a combination of all three.","NRC values live in PDFs detached from the system, so the number that wins the job is the hardest thing to find.",No way to see a grille spacing rendered in the species being considered — the visual decision happens off-site.,"System selector filtering on NRC, grille spacing and species, with the ceiling rendered as you narrow. | $10,200","Acoustic data attached to every system rather than filed separately. | $4,400","Spec text, CAD and sample request generated from the configured system. | $4,000","Room-scale preview so a designer can show a client the ceiling rather than a swatch. | $5,600","Architect accounts with saved systems across live projects. | $3,200",outdated-design;manual-processes;poor-seo,26000,"$18,000","$38,000",06082026
9Wood,Director of Marketing,info@9wood.com,Wood ceiling systems,Springfield,OR,USA,https://www.9wood.com,"Ceiling types are well explained and genuinely educational, but the site teaches rather than selects — nothing narrows by span, species, acoustic backer or budget.",cold-outreach,researched,"Subject: You teach the category better than anyone, then stop

Hi [First Name],

I went through 9wood.com the way an architect with a school commons would: a wood ceiling, a 30-foot span, an acoustic requirement, and a budget that will get cut once by the GC no matter what.

Your explanatory content is the best in the category. Genuinely — the way the ceiling types are described has clearly been written by people who install them.

But there's a structural problem underneath it that isn't anyone's fault. Eleven ceiling types, each explained well, and no way to compare them. The architect finishes reading better informed and no closer to a decision, because choosing is narrowing: span first, then acoustic backer, then species, then the thing nobody puts on a website — relative cost. So they call a rep to be walked down a list, and the conversation starts three steps earlier than it needed to.

I built one screen to show what those eleven types look like when they're comparable rather than explained, with budget as a real filter. Inside your existing site, nothing redesigned. Two minutes to look at, and I'm not going to chase you about it.

Want me to send it over?

[Sender Name]
Bothmade","Subject: Here it is

Here it is.

The ceiling types across the top as columns, the things that decide between them down the side — span, backer, species, relative cost — so two types can be read against each other in one look. That's the bit that can't happen today.

The cost row is the one I'd expect you to argue with. I've shown it as relative bands rather than numbers, because I don't think anyone puts real prices on a page like this, but leaving it off entirely is why systems get specified and then cut.

It's a static design rather than a working build, so nothing clicks. I'd rather show the idea honestly than fake a demo.

Two questions either way: would you show cost at all? And is span the first thing that eliminates types, or acoustics?

[Sender Name]","Your site teaches the category better than anyone else in it, and then leaves the architect with no way to narrow eleven ceiling types down to the two that suit their span and budget.","They already invest in educating architects — this is the same instinct, one step further down the funnel. Frame it that way.",interiors;configurator;field-run-002,83,Eleven ceiling types explained well and comparable nowhere — the architect learns the category and still cannot choose.,"Budget is the quietest filter in the category and the site never mentions it, so pricey systems get specified and then cut.","Species, backer and mounting are decided in a rep conversation that could have started three steps further along.","Ceiling type comparison: span, acoustic backer, species and relative cost, side by side. | $8,800","Budget band as a first-class filter, so the shortlist survives value engineering. | $4,200","Configured enquiry that reaches your reps with the type, species and area already decided. | $3,600","Lunch-and-learn booking tied to the type they were looking at. | $2,800","Project archive filtered by ceiling type rather than by building. | $3,400",manual-processes;disconnected-tools,21000,"$14,000","$31,000",06082026
Arktura,VP of Business Development,info@arktura.com,Architectural ceiling and facade systems,Gardena,CA,USA,https://arktura.com,"A parametric product presented as a fixed catalogue. The whole promise is that patterns are variable, and every pattern on the site is a photograph of one instance.",cold-outreach,researched,"Subject: A parametric product, shown as photographs

Hi [First Name],

I went through arktura.com the way a designer with a corporate lobby would: a perforated ceiling that reads as pattern from below, at a density that still hides the plenum, in something a contractor can hang without inventing details.

The work is genuinely striking and the photography does it justice — that part is not the problem.

The problem is structural, and it isn't anyone's fault. Your product is parametric. Density, scale, perforation, panel size — those are variables, and that variability is the entire reason someone picks you over a stock ceiling. But a website can only show a photograph of one instance, so every pattern on the site is a single frozen example of something that isn't fixed. The designer can't see what else it does. They ask your team for a render, your team makes one, and two days later the conversation restarts — for something the site could have shown in ten seconds.

I built one screen to show what your product looks like when the variables are on the screen instead of in an email thread. Inside your existing site, your brand untouched. Two minutes, and I won't chase you about it.

Want me to send it over?

[Sender Name]
Bothmade","Subject: Here it is

Here it is.

The sliders are on the right — density, scale, perforation — and the panel redraws as they move. Configurations you can't actually fabricate are shown greyed rather than hidden, so a designer learns the limits instead of hitting them in shop drawings. That's the bit that can't happen today.

It's a static design rather than a working build, so nothing clicks — the panel states are drawn, not generated. I'd rather show you the idea honestly than fake a demo.

Two questions I'd genuinely like your view on, whether this goes anywhere or not: which variable do designers change first? And is showing the fabrication limits publicly a help or a problem for you?

[Sender Name]",Your product is parametric and your website is a catalogue of photographs — the one thing that makes you different is the thing the site cannot show.,"This one is a genuine fit — parametric product, static site. The configurator is the product demo.",interiors;configurator;field-run-002,90,"A variable product shown as fixed photographs, so the customisation you sell on is invisible until a rep explains it.","No way to see a pattern at a different density, scale or perforation without asking for a render.",Every enquiry starts with your team producing a visual that the site could have produced.,"Pattern configurator: density, scale and perforation moved on screen, panel updating live. | $12,500","Constraint logic so what a designer configures is something you can actually fabricate. | $5,800","Configuration saved to a link and attached to the enquiry it generates. | $4,200","Render pack export for the designer presenting to a client. | $4,800","Fabrication-ready output that shortens the handoff from enquiry to shop drawing. | $6,500",manual-processes;disconnected-tools,34000,"$24,000","$48,000",06082026
Turf Design,Director of Sales,hello@turf.design,Acoustic felt ceiling and wall systems,Chicago,IL,USA,https://turf.design,"Shapes, colours and mounting multiply fast and the site sells the look. Sound absorption data — the reason the product exists — is a secondary page.",cold-outreach,researched,"Subject: They have a noise problem, not a product problem

Hi [First Name],

I went through turf.design the way a designer fixing a restaurant would: hard ceiling, hard floor, guests shouting across tables, and a client who wants the fix to look deliberate rather than apologetic.

The visual language is excellent — the felt is presented as a design decision rather than as acoustic treatment, which is exactly right.

But there's a structural problem underneath it that isn't anyone's fault. Everyone arriving at your site has a room with a noise problem. Nobody arrives wanting felt. The site is organised around shapes and colours, so the visitor has to translate their problem into your product themselves, guess how much of it they need, and hope. The absorption data that would justify the spend to their client is a page most of them never reach. So the enquiry arrives as ""how much are these?"" instead of ""this room, this coverage, this quantity"" — and the two conversations close at very different rates.

I built one screen to show what it looks like when the room comes first and the panels follow. Inside your existing site, nothing redesigned. Two minutes, and I won't chase you about it.

Want me to send it over?

[Sender Name]
Bothmade","Subject: Here it is

Here it is.

The room goes in at the top — dimensions, hard surfaces, what it's used for — and it comes back with a coverage figure and an expected improvement, then the shapes and colours that hit it. The quote request carries the room with it, which is the bit that can't happen today.

It's a static design rather than a working build, so nothing clicks, and the absorption figures on it are placeholders rather than your real test data. I'd rather show the idea honestly than fake a demo.

Two questions, whether or not this goes anywhere: is a coverage percentage the honest way to express this, or would your acoustician object? And do designers know their room dimensions at this stage, or is that asking too early?

[Sender Name]","You sell an acoustic product on how it looks, and the absorption data that justifies it to a client is a page most visitors never reach.","The room-first tool is the whole pitch: their buyer has a noise problem, not a product problem.",interiors;spec-data;field-run-002,84,Colour and shape are foregrounded; the acoustic numbers that justify the spend are a secondary page.,No way to work from a room and a reverberation problem back to a quantity of panels.,Shape × colour × mounting combinations are shown as a gallery rather than something you can narrow.,"Room-first tool: room size and surfaces in, panel coverage and expected absorption out. | $9,400","Shape and colour selector with absorption shown alongside, not on another page. | $5,200","Quantity and quote request generated from the room, not from a blank form. | $3,400","Layout preview for the designer to present, with panels placed on a ceiling plan. | $6,200","Dealer routing so specifications reach the right distributor without a call. | $2,900",manual-processes;disconnected-tools,23000,"$15,000","$33,000",06082026
Wolf-Gordon,VP of Marketing,info@wolfgordon.com,Contract wallcovering and textiles,New York,NY,USA,https://www.wolfgordon.com,"Thousands of patterns and colourways presented as collections. No filtering by performance — Type II, cleanability, healthcare suitability — which is what actually eliminates options.",cold-outreach,researched,"Subject: Performance eliminates most of the range first

Hi [First Name],

I went through wolfgordon.com the way a healthcare designer would: patient room corridors, Type II required, has to survive a bleach wipe-down, and it still has to look like somewhere a person would want to recover.

The range is the strongest thing you have. The depth of pattern and colourway is not something a competitor closes quickly.

But there's a structural problem underneath it that isn't anyone's fault. In healthcare and hospitality, performance eliminates most of the range before pattern is even considered — substrate class, cleanability, sector suitability. Your site is organised by collection, so the designer has to browse patterns first and discover the disqualifying detail later, one product at a time. Thousands of options and no way to remove the ones that were never eligible. Then colourways are nested inside patterns, so someone working from a palette has to open every pattern to find the greens.

I built one screen to show what it looks like when performance filters first and pattern follows. Inside your existing site, your brand untouched. Two minutes, and I won't chase you about it.

Want me to send it over?

[Sender Name]
Bothmade","Subject: Here it is

Here it is.

Performance across the top — substrate class, cleanability, sector — and the range narrows before a single pattern is browsed. Colourways come out of their patterns and become searchable on their own, so a designer working from a palette can start there. Memo samples are ordered from the result rather than from a separate form: that's the bit that can't happen today.

It's a static design rather than a working build, so nothing clicks. I'd rather show you the idea honestly than fake a demo.

Two questions I'd genuinely like your view on either way: is sector the filter designers reach for first, or cleanability? And would pulling colourways out of patterns upset how your collections are meant to be read?

[Sender Name]","Thousands of patterns and colourways, and no way to filter by the performance requirements that eliminate most of them before anyone even looks at the pattern.",Healthcare and hospitality specifiers are the volume buyers — performance filtering is aimed squarely at them.,interiors;catalogue-depth;field-run-002,86,"Performance requirements — Type II, cleanability, healthcare and hospitality suitability — eliminate most of the range and cannot be filtered on.","Colourways are nested inside patterns, so a designer working from a palette has to open patterns one at a time.",Memo sample ordering is a separate journey from the pattern that prompted it.,"Performance-first filtering: substrate class, cleanability and sector, applied before pattern. | $10,800","Search by colourway across the whole range, not pattern by pattern. | $6,400","Memo samples ordered from whatever is on screen, in one step. | $4,200","Designer accounts with saved boards per project. | $4,600","Room-scale preview of a pattern at true repeat. | $5,400",manual-processes;poor-seo,31000,"$20,000","$44,000",06082026
Koroseal Interior Products,Director of Business Development,info@koroseal.com,Wallcovering and wall protection,Fairlawn,OH,USA,https://www.koroseal.com,"Two very different businesses — decorative wallcovering and hard wall protection — sharing one navigation, so each audience wades through the other one.",cold-outreach,researched,"Subject: Two buyers, one navigation

Hi [First Name],

I went through koroseal.com twice on purpose. Once as an interior designer looking for a decorative wallcovering for a hotel corridor. Once as a facilities engineer who needs crash rail and corner guards for a hospital wing that keeps getting damaged by carts.

Both times the site was well made. Both times it was built for the other person.

That's the structural problem, and it isn't anyone's fault: you're running two genuinely different businesses through one navigation. The designer thinks in palette, pattern and collection. The engineer thinks in impact rating, profile and mounting height, and doesn't care what colour it comes in until the last minute. A single homepage can only ever be optimised for one of them, so each audience spends its first two minutes scrolling past the other one's product — which is exactly when most people leave.

I built one screen to show what a split entry looks like, with the protection side filtering the way an engineer actually specifies. Inside your existing site, nothing redesigned. Two minutes, and I won't chase you about it.

Want me to send it over?

[Sender Name]
Bothmade","Subject: Here it is

Here it is.

Two doors at the top, and behind each one a set of filters written in that buyer's vocabulary — palette and pattern on one side, impact rating and mounting height on the other. The rep who covers their territory shows up on the product card rather than on a contact page, which is the bit that can't happen today.

It's a static design rather than a working build, so nothing clicks. I'd rather show the idea honestly than fake a demo.

Two questions I'd like your answer to either way: is the decorative-versus-protection split the real division, or is it healthcare-versus-everything-else? And does putting the rep on the product page cut across how your distribution works?

[Sender Name]","Decorative wallcovering and wall protection are two different buyers with two different vocabularies, and they are sharing one navigation.",The two-audiences problem is unusually clear here and easy to demonstrate on one screen. Good first mockup.,interiors;catalogue-depth;field-run-002,82,A designer and a facilities engineer arrive for opposite reasons and get the same homepage.,Wall protection is specified from impact ratings and profiles; the site presents it like a decorative range.,Nothing routes a specifier to the local rep who will actually service the job.,"Split entry: the decorative journey and the protection journey, each with its own filters. | $8,600","Protection selector on impact rating, profile and mounting height. | $6,200","Rep routing by territory attached to the product, not filed under contact us. | $3,200","Healthcare specification bundles — the documents that repeat on every job. | $4,400","Sample ordering by project rather than by product. | $3,600",outdated-design;manual-processes,24000,"$16,000","$35,000",06082026
Roppe Corporation,Director of Marketing,info@roppe.com,"Rubber flooring, base and accessories",Fostoria,OH,USA,https://www.roppe.com,"Product families with colour ranges beneath them, so the colour-first buyer — which is most of them — has to open every family to find out who carries the shade they want.",cold-outreach,researched,"Subject: Everyone arrives with the colour already decided

Hi [First Name],

I went through roppe.com the way a commercial flooring contractor would mid-job: rubber base to match a tile already installed, in a colour the architect specified from a chip six months ago, needed in three days.

The range is deep and the technical documentation is better than most of the category. That part is solid.

But there's a structural problem underneath it that isn't anyone's fault. Almost everyone arrives with the colour already decided — a chip number, a shade, something to match. Your site is organised by product family, so the colour they're chasing is nested one level down inside every family, and the only way to find out which products carry it is to open all of them. Then the harder version of the same problem: base, tread and tile all have to coordinate on a job, and nothing on the site shows which colours actually run across all three. So it becomes a phone call to your customer service team, hundreds of times a week, about a fact you already hold.

I built one screen to show what the catalogue looks like organised by colour first. Inside your existing site, nothing redesigned. Two minutes, and I won't chase you about it.

Want me to send it over?

[Sender Name]
Bothmade","Subject: Here it is

Here it is.

Colour first — the full palette across the top — and under each shade, every product that carries it: base, tread, tile, accessory. Pick a colour and you can see instantly what coordinates and what doesn't, which is the bit that can't happen today and the reason your customer service team gets so many calls.

It's a static design rather than a working build, so nothing clicks. I'd rather show you the idea honestly than fake a demo.

Two questions either way: do contractors search by your colour names or by the numbers? And is there a fourth product line that has to coordinate that I've missed?

[Sender Name]","Most of your buyers arrive with a colour in mind and your site is organised by product family, so finding which products come in that colour means opening every family in turn.","The coordination view is the differentiator — matching base to tile across product lines is a real, unsolved job.",flooring;visual-selection;field-run-002,81,"Colour lives inside product families, so a colour-first buyer opens every family to find the shade they want.","Base, tread, tile and accessory have to coordinate on a job and nothing shows which colours run across all four.","No way to see a colour at floor scale, which is where every complaint about colour comes from.","Colour-first browsing across the whole catalogue, with the products that carry each shade listed under it. | $8,400","Coordination view: which base, tread and tile share a colour, on one screen. | $5,600","Sample ordering by colour across products in one request. | $3,400","Floor-scale preview so a colour is judged at the size it will be seen at. | $5,200","Contractor reordering by job so repeat work does not start from a search. | $3,800",outdated-design;manual-processes,22000,"$14,000","$32,000",06082026
Dur-A-Flex,Director of Sales,info@dur-a-flex.com,Seamless resinous flooring systems,East Hartford,CT,USA,https://www.dur-a-flex.com,"Systems are listed as products. The buyer arrives with an environment — chemical exposure, thermal shock, wash-down — and nothing on the site maps environment to system.",cold-outreach,researched,"Subject: They search for the chemical, not the system

Hi [First Name],

I went through dur-a-flex.com as a plant engineer would: a food processing floor that gets caustic wash-down twice a day, thermal shock from steam cleaning, and a shutdown window of one weekend to install whatever we choose.

The technical depth is real — the resistance data and the system range make it obvious this is a serious manufacturer, not a distributor with a brochure.

But there's a structural problem underneath it that isn't anyone's fault. Your systems are named in your language and chosen by people describing an environment in theirs. Nobody searches for a system name. They search for caustic, or lactic acid, or thermal shock, or ""food plant flooring"". Your resistance data — which would answer them exactly — lives inside PDF charts that a search engine can't read and a visitor can't query. So the engineer who has a specific chemical problem, and would specify you if they could see the answer, ends up asking three contractors instead.

I built one screen to show what it looks like when the environment is the input and the systems are the output. Inside your existing site, nothing redesigned. Two minutes, and I won't chase you about it.

Want me to send it over?

[Sender Name]
Bothmade","Subject: Here it is

Here it is.

Facility type, exposure and traffic at the top; the systems that survive it underneath, each with the reason it qualified. Underneath that, resistance searchable by substance — type in the chemical, see what holds. That's the bit that can't happen today, and it's the search your buyers are actually running.

It's a static design rather than a working build, so nothing clicks, and the resistance values shown are placeholders rather than your data. I'd rather show the idea honestly than fake a demo.

Two questions I'd like your view on either way: is exposure the first filter, or is downtime? And how many chemicals would need to be in there before it's genuinely useful rather than a demo?

[Sender Name]","Your buyer arrives describing an environment — chemical spills, thermal shock, daily wash-down — and your site is a list of system names.","Chemical-resistance-by-substance is the killer feature — plant engineers search for the chemical, never the system.",flooring;spec-data;field-run-002,85,"Systems named in your language, chosen by people describing an environment in theirs.",Chemical resistance data sits in PDFs rather than as something you can query by substance.,"No path from ""this is my facility"" to a specification a contractor can bid.","Environment-first selector: facility type, exposure and traffic in, the systems that hold up out. | $10,600","Chemical resistance searchable by substance instead of buried in a resistance chart. | $6,800","Specification pack generated per system for bidding. | $4,400","Contractor locator tied to the specified system and territory. | $3,800","Maintenance guidance per system, which is where warranty claims start. | $3,200",outdated-design;manual-processes;poor-seo,27000,"$18,000","$39,000",06082026
Stonhard,Director of Marketing,info@stonhard.com,Installed seamless flooring systems,Maple Shade,NJ,USA,https://www.stonhard.com,"Single-source install is the differentiator and the site sells it as a paragraph. Nothing shows the downtime, the sequence, or what a plant shutdown actually looks like.",cold-outreach,researched,"Subject: The plant manager is scared of downtime, not resin

Hi [First Name],

I went through stonhard.com as a plant manager would: a failing floor in a wet processing area, a two-day window at Thanksgiving to replace it, and a boss who will ask exactly one question — how long is the line down.

Your actual differentiator is unusual and genuinely valuable: you manufacture the system and install it with your own crews. Most of this category subcontracts and hopes.

But there's a structural problem underneath it that isn't anyone's fault. That differentiator is stated on the site as a sentence, and the one thing your buyer is frightened of — downtime — isn't addressed anywhere. They can't find out how long a 5,000 square foot floor takes, what happens in what order, or whether your crew is free the weekend they need. So the question that would sell your model better than any brochure is the question the site refuses to answer, and the plant manager takes three quotes from installers who all sound the same on paper.

I built one screen to show what it looks like when downtime is the first thing the site talks about. Inside your existing site, nothing redesigned. Two minutes, and I won't chase you about it.

Want me to send it over?

[Sender Name]
Bothmade","Subject: Here it is

Here it is.

Area and environment at the top, and what comes back is a sequence — prep, install, cure, back in service — with a realistic window rather than a brochure claim. Underneath, the systems that suit the environment, and case evidence filtered by plant type rather than by industry vertical.

It's a static design rather than a working build, so nothing clicks, and the durations on it are mine rather than yours — I'd rather show the idea honestly than fake a demo, and those numbers are exactly the thing you'd want to correct.

Two questions, whether this goes anywhere or not: is cure time the number that scares people, or the prep? And would you ever publish a window like this, or is it too job-specific to commit to?

[Sender Name]","Single-source installation is your real differentiator and it is described in a paragraph — the thing your buyer is actually frightened of is downtime, and nothing on the site addresses it.",Their competitor sells material; they sell material plus crew. The site currently sells neither clearly.,flooring;service-differentiation;field-run-002,84,The differentiator — you install what you manufacture — is stated rather than shown.,Downtime is the buyer's real fear and no page anywhere addresses how long a floor takes.,Case studies read as marketing rather than as evidence a plant manager can take to their boss.,"Downtime-first project planner: area and environment in, realistic install window out. | $9,800","System selector by facility and exposure rather than by product name. | $7,200","Case evidence restructured around plant type, downtime and outcome. | $4,600","Regional crew availability, which turns a quote into a date. | $4,200","Maintenance and re-coat scheduling for existing accounts. | $3,600",outdated-design;manual-processes,29000,"$19,000","$41,000",06082026
Summitville Tiles,Director of Sales,sales@summitville.com,Quarry tile and commercial ceramic,Summitville,OH,USA,https://www.summitville.com,"Slip resistance is the number that decides commercial kitchen and healthcare jobs, and it is not something the site lets you filter or even easily find.",cold-outreach,researched,"Subject: DCOF is the first thing that eliminates a tile

Hi [First Name],

I went through summitville.com the way a foodservice consultant would: a commercial kitchen floor, a health inspector who cares about slip resistance, and a chef who cares that it can be cleaned in ten minutes at midnight.

Quarry tile is a category you've been in longer than almost anyone, and the durability argument on the site is well made.

But there's a structural problem underneath it that isn't anyone's fault. In commercial kitchens and healthcare, the first filter is slip resistance — a DCOF number the specifier already has in their hand before they open a website. Yours are hard to find and impossible to filter on, so the visitor with a specific requirement has to open tile after tile hoping to hit one that qualifies. Then the trim pieces they need are listed somewhere else again, and finding a distributor who stocks any of it is a third journey. Each of those is a small friction, and together they're the reason a spec goes to whoever made it easy.

I built one screen to show what it looks like when slip rating filters first. Inside your existing site, nothing redesigned. Two minutes, and I won't chase you about it.

Want me to send it over?

[Sender Name]
Bothmade","Subject: Here it is

Here it is.

Slip rating and application at the top — kitchen, wet area, healthcare — and the tiles that qualify underneath. Each one shows the trims available with it rather than in a separate schedule, and the distributor who stocks it sits on the same card. That last part is the bit that can't happen today.

It's a static design rather than a working build, so nothing clicks. I'd rather show the idea honestly than fake a demo.

Two questions I'd like your answer to either way: is DCOF the rating your specifiers use, or are they still asking for the older test? And do trims get chosen at the same moment as the tile, or later?

[Sender Name]","Slip resistance decides commercial kitchen and healthcare jobs, and your DCOF numbers are not something a visitor can filter on — or in most cases find.",Commercial kitchens are the repeat buyer. Lead with DCOF and the rest follows.,tile;spec-data;field-run-002,79,"DCOF and slip ratings are buried, when they are the first thing a commercial kitchen spec eliminates on.","Shapes, sizes and trim pieces are listed apart from the tile bodies they belong to.",Nothing connects a specification to the distributor who can actually supply it.,"Slip-rating-first selector for commercial kitchen, healthcare and wet areas. | $8,200","Trim and shape availability shown on the tile page instead of in a separate schedule. | $5,400","Distributor routing attached to the selected tile. | $3,200","Installation detail library for the trades doing the work. | $3,800","Sample requests grouped by project rather than by tile. | $2,900",outdated-design;poor-seo;manual-processes,19000,"$13,000","$28,000",06082026
Willoughby Industries,Director of Sales,info@willoughby-ind.com,Behavioral health and corrections plumbing fixtures,Indianapolis,IN,USA,https://www.willoughby-ind.com,"Fixtures are listed by model number. The specifier arrives with a security level and a ligature-resistance requirement, and nothing on the site starts from either.",cold-outreach,researched,"Subject: They start from the security level

Hi [First Name],

I went through willoughby-ind.com the way a healthcare architect would on a behavioral health unit: fixtures that meet a ligature-resistance standard, in a patient room, with rough-in dimensions I can drop into a drawing this afternoon.

The product knowledge is obvious. This is clearly a company that understands the environments it builds for, and that is not true of everyone selling into this category.

But there's a structural problem underneath it that isn't anyone's fault. Your fixtures are catalogued by model number, and nobody arrives knowing a model number. They arrive knowing a facility type and a security level, and needing to satisfy a standard. The ligature-resistance detail that is the entire reason this category exists isn't something the site lets them filter on. And the rough-in drawing — the one artefact that gets you into the drawing set, which is where specifications actually get locked — is a separate download from the fixture it belongs to.

I built one screen to show what it looks like when the facility and the security level come first. Inside your existing site, nothing redesigned. Two minutes, and I won't chase you about it.

Want me to send it over?

[Sender Name]
Bothmade","Subject: Here it is

Here it is.

Facility type and security level at the top; the fixtures that qualify underneath, each carrying its compliance detail and its rough-in drawing on the same card. Downloading the drawing takes one click instead of a form, which is the bit that can't happen today — and getting your drawing into their drawing set is how the spec stops moving.

It's a static design rather than a working build, so nothing clicks. I'd rather show you the idea honestly than fake a demo.

Two questions I'd genuinely like your view on either way: is security level the right first filter, or does facility type do more work? And is there a reason drawings sit behind a form that I should know about?

[Sender Name]","Specifiers arrive with a security level and a ligature-resistance requirement, and your fixtures are listed by model number.","Serious, conservative buyer. Compliance and drawings win here — do not lead with anything that sounds like a redesign.",plumbing;spec-data;field-run-002,84,Model-number-first catalogue for a buyer who starts from a security level and a facility type.,Ligature-resistance detail — the whole reason this category exists — is not something you can filter on.,Rough-in dimensions and specs are separate downloads from the fixture they describe.,"Facility-first selector: behavioral health, corrections, detention — with security level as the filter. | $9,600","Ligature-resistance and compliance detail attached to each fixture rather than filed apart. | $5,200","Rough-in drawings and spec sheets on the fixture page, downloadable without an enquiry. | $4,000","Submittal package builder for a whole facility rather than one fixture at a time. | $6,000","Replacement-parts flow for maintenance teams on existing installations. | $3,600",outdated-design;manual-processes;poor-seo,25000,"$17,000","$36,000",06082026
Acorn Engineering Company,VP of Sales,info@acorneng.com,Commercial and institutional plumbing systems,City of Industry,CA,USA,https://www.acorneng.com,"Several distinct divisions share one site, and a visitor cannot tell which division makes the thing they came for — so navigation becomes a guess.",cold-outreach,researched,"Subject: The org chart is the navigation

Hi [First Name],

I went through acorneng.com the way a mechanical engineer would on a school project: wash fountains for a high school restroom, something vandal-resistant, with a spec sheet I can attach to a submittal today.

The manufacturing capability is genuinely broad — the range of environments you build for is wider than most of your competitors put together.

But there's a structural problem underneath it that isn't anyone's fault. The site's top-level navigation is your divisions, and only someone who works there knows which division makes which product. So the first decision the site asks a visitor to make is one they have no way to answer. They guess, land in the wrong division, and either back out or assume you don't make what they're after. The same fixture type shows up in more than one place with nothing comparing them, and the specification documents are filed by division too — organised for the company rather than for the job the engineer is doing.

I built one screen to show what it looks like organised by product and application, with the divisions kept as provenance rather than as the maze. Inside your existing site, nothing redesigned. Two minutes, and I won't chase you about it.

Want me to send it over?

[Sender Name]
Bothmade","Subject: Here it is

Here it is.

Products across the top and application down the left — school, detention, healthcare, industrial — so a visitor never has to know which division makes what. The division still appears on each product, just as a label rather than as the door you had to pick correctly. That's the bit that can't happen today.

It's a static design rather than a working build, so nothing clicks. I'd rather show the idea honestly than fake a demo.

Two questions I'd like your answer to either way: do the divisions matter to your customers at all, or only internally? And is application the right cross-cut, or is it market segment?

[Sender Name]","You run several distinct divisions off one site, and a visitor cannot tell which of them makes the thing they came for — so the first decision the site asks them to make is one only an employee could answer.",The org chart is the navigation — a common and very fixable problem. Show it on one screen and it sells itself.,plumbing;navigation;field-run-002,82,"Divisions are the top-level navigation, and only employees know which division makes what.",Same fixture types appear under multiple divisions with no comparison between them.,Specification documents are organised by division rather than by the job the specifier is doing.,"Product-first navigation with the divisions kept underneath as provenance, not as a maze. | $9,200","Application selector — school, detention, industrial, healthcare — cutting across all divisions. | $6,400","One document library organised by product rather than by internal structure. | $4,400","Rep and territory routing on every product page. | $3,400","Submittal builder spanning divisions for a whole project. | $5,600",outdated-design;disconnected-tools;manual-processes,24000,"$16,000","$35,000",06082026
