company,email,industry,city,state,country,originalWebsite,source,status,personalisedColdEmail,mockupEmail,personalizedObservation,salesNote,tags,leadScore,estimatedValue,lowestEstimate,highestEstimate,dateAdded
Alani Skin MD,,Med spa,Scottsdale,AZ,USA,,cold-outreach,researched,"Subject: one thing about your booking

Hi [First Name],

I looked at Alani Skin MD the way a client who follows you on Instagram does — arriving from a phone, already sold on the treatment, just needing a time.

Your reputation locally is obvious, and that is the hardest part of this business to build.

There's a problem underneath it that isn't anybody's fault. Your reviews are your best salesperson and they live on Google, not on your homepage, where the person deciding between you and the spa down the road never sees them. Every one of those is revenue that left without leaving a trace.

I'd like to build you one. A homepage concept for Alani Skin MD, designed properly, at my expense — not a proposal, not a deck, the actual thing. Yours to keep whether we ever work together or not. Most people who see theirs want to talk. Some don't, and that's genuinely fine.

Want me to send one over?

[Sender Name]
Bothmade","Subject: Alani Skin MD — here it is

Here it is.

Booking is the homepage — pick the treatment, pick a time, done — with the reviews sitting right beside it where they close the sale.

It's a static design rather than a working build, so nothing clicks. I'd rather show you the idea honestly than fake a demo.

Two things I'd like your view on: are prices on the site a help or a headache for you? And which treatment brings you the most new clients?

[Sender Name]",the reviews doing the selling live on Google rather than on the homepage where the decision is made,"No website found in research. Look up the site and address, or call.",field-run-003;med-spa;AZ,75,10000,"$5,000","$18,000",06082026
Alford Homes,info@alfordhomes.com,Custom home building,Dallas,TX,USA,https://alfordhomes.com,cold-outreach,researched,"Subject: one thing about your gallery

Hi [First Name],

I looked at Alford Homes the way people do at the start of this — nervous, doing homework, trying to work out who is going to be easy to work with for eighteen months.

Nobody builds at this level by accident — the craft comes across.

But something structural is working against you, and it isn't anybody's fault. What people are actually frightened of is the process — eighteen months, their money, decisions they've never made before — and almost no builder's site addresses that anywhere, so the fear does its work in silence. And half the calls you do take were never going to be anything.

Here's what I'd like to do about it. I'll build Alford Homes a homepage concept — a real one, designed for your business, not a template with your logo dropped in — and send it over. It costs you nothing and there's no obligation attached to it. If you like it we can talk. If you don't, you keep the ideas and I go away.

Want me to send one over?

[Sender Name]
Bothmade","Subject: Alford Homes — here it is

Here it is.

The portfolio filterable by budget band, style and scope, so the couple with a specific project finds their project in about nine seconds.

It's a static design rather than a working build, so nothing clicks. I'd rather show you the idea honestly than fake a demo.

Two things I'd like your answer to: do people arrive with a lot already, or before? And would showing the process month by month help you or scare people?

[Sender Name]","the enquiry form asks for a name and a message, so every lead arrives unqualified","Confirm the inbox before sending — info@ is the convention, not a verified address.",field-run-003;custom-home-building;TX,75,22000,"$12,000","$35,000",06082026
Alpers Family & Cosmetic Dentistry,info@alpersdentistry.com,Cosmetic dentistry,Scottsdale,AZ,USA,https://alpersdentistry.com,cold-outreach,researched,"Subject: your veneer cases, and your website

Hi [First Name],

I went looking for a cosmetic dentist in Scottsdale the way a veneer patient does — evening, on a phone, wanting to see cases and find out roughly what it costs before speaking to anybody.

The case work speaks for itself, and the reviews back it up.

There's a problem underneath it that isn't anybody's fault. The decision happens at night on a phone, and booking usually means ringing a front desk between nine and five, so the moment somebody finally feels ready has nowhere to go. That's the biggest case of the month deciding not to ring.

So rather than describe what I'd change, I'd rather just build it. I'll put together a homepage concept for Alpers Family & Cosmetic Dentistry, free, and send it to you. No meeting required to get it, no invoice at the end, no catch. Look at it for two minutes and tell me I'm wrong if I am.

Say the word and I'll start on it — want it?

[Sender Name]
Bothmade","Subject: the concept, as promised

Here it is.

A homepage built for the cosmetic patient: before-and-afters at the top, the range in plain numbers, and a request form that takes fifteen seconds.

It's a design, not a live site — nothing on it actually clicks yet. I'd rather be straight about that than fake a working demo.

Two questions I'd like your answer to either way: does putting a price range on the site help you or bring you the wrong calls? And is it veneers or implants that pays best for you?

[Sender Name]","a $15k veneer case is decided from before-and-afters and a price range, and neither is easy to reach","Confirm the inbox before sending — info@ is the convention, not a verified address.",field-run-003;cosmetic-dentistry;AZ,75,12000,"$6,000","$22,000",06082026
Alterra Landscape Design,info@alterradesignllc.com,Landscape design build,Dallas,TX,USA,https://alterradesignllc.com,cold-outreach,researched,"Subject: Dallas · what a design client can't find

Hi [First Name],

I looked at Alterra Landscape Design as somebody planning a serious outdoor project would: design-led, photo-first, and quietly worried about what it will cost.

The work is beautiful and clearly design-led, which is rarer in this trade than it should be.

But there's a structural problem underneath it that isn't anyone's fault. Design-led buyers choose from images, and your images are shown as a scroll rather than something you can narrow by style, scale or budget. That's a design fee lost to the studio with a better-sorted website.

I'd like to build you one. A homepage concept for Alterra Landscape Design, designed properly, at my expense — not a proposal, not a deck, the actual thing. Yours to keep whether we ever work together or not. Most people who see theirs want to talk. Some don't, and that's genuinely fine.

Worth two minutes of your time? Just reply yes.

[Sender Name]
Bothmade","Subject: Alterra Landscape Design — here it is

Here it is. Two minutes and you have seen it.

The portfolio narrowed the way designers choose, and a brief form that captures the lot, the ambition and the timing.

It's a static design rather than a working build, so nothing clicks. I'd rather show you the idea honestly than fake a demo.

Two questions either way: do clients come to you for design or for build first? And would publishing a design fee range help or hurt?

[Sender Name]","design-led buyers choose from images, and the images cannot be narrowed by style, scale or budget","Confirm the inbox before sending — info@ is the convention, not a verified address.",field-run-003;landscape-design-build;TX,75,9000,"$5,000","$16,000",06082026
Amaka Aesthetics,,Med spa,Nashville,TN,USA,,cold-outreach,researched,"Subject: the gap between your reviews and your site

Hi [First Name],

I spent twenty minutes on your site the way a first-time client would: scrolling on a phone, comparing you against two other Nashville spas, ready to book if someone made it easy.

The reviews are doing a lot of work for you, and the treatment menu is clearly built by people who know the category.

But something structural is working against you here, and it isn't anyone's fault. Everyone arriving is already sold — they want a time, not a description — and most spa sites are built to describe treatments rather than to sell a slot on Thursday. Every one of those is revenue that left without leaving a trace.

Here's my offer, and it's a simple one. Let me build Amaka Aesthetics a homepage concept for free. I'll design it around exactly this problem, send it over, and you decide. There's no obligation and nothing to sign to see it — I'd rather show you what we do than tell you.

Worth two minutes of your time? Just reply yes.

[Sender Name]
Bothmade","Subject: the concept, as promised

Here it is.

Booking is the homepage — pick the treatment, pick a time, done — with the reviews sitting right beside it where they close the sale.

It's a design, not a live site — nothing on it actually clicks yet. I'd rather be straight about that than fake a working demo.

Two questions I'd genuinely like your answer to either way: would you let clients book without a consult call first? And is membership the thing you'd want pushed hardest here?

[Sender Name]","everyone arriving is already sold and wants a time, and the site is built to describe treatments instead","No website found in research. Look up the site and address, or call.",field-run-003;med-spa;TN,75,10000,"$5,000","$18,000",06082026
Angel Reyes & Associates,,Personal injury law,Dallas,TX,USA,,cold-outreach,researched,"Subject: Dallas · what an injured caller needs first

Hi [First Name],

I went through your site in Dallas the way an injured person does — on a phone, in pain, two days after a crash, with an adjuster already calling them.

The record is genuinely strong, and in this category that record is the whole product.

There's a problem underneath it that isn't anyone's fault. Intake is the whole business, and most firms send an injured person to a contact form that asks for a name and a message — so nobody can tell a real case from a tyre-kicker until somebody has spent an hour on the phone. So the case that was worth a quarter of a million rings the firm whose site felt like it was written for them.

I'd like to build you one. A homepage concept for Angel Reyes & Associates, designed properly, at my expense — not a proposal, not a deck, the actual thing. Yours to keep whether we ever work together or not. Most people who see theirs want to talk. Some don't, and that's genuinely fine.

Want me to send one over?

[Sender Name]
Bothmade","Subject: here it is

Here it is — Angel Reyes & Associates, as promised.

Case types up front in plain words, the results next to them, and an intake that works at 2am without a human on the line.

It's a static design rather than a working build, so nothing clicks. I'd rather show you the idea honestly than fake a demo.

Two things I'd like your answer to: which case type is worth the most to you? And would you let a form triage before a human speaks to them?

[Sender Name]",intake is the whole business and it runs through a form that asks for a name and a message,"No website found in research. Look up the site and address, or call.",field-run-003;personal-injury-law;TX,75,20000,"$10,000","$35,000",06082026
Ann Webb Skin Clinic,,Med spa,Austin,TX,USA,,cold-outreach,researched,"Subject: the gap between your reviews and your site

Hi [First Name],

I spent twenty minutes on your site the way a first-time client would: scrolling on a phone, comparing you against two other Austin spas, ready to book if someone made it easy.

Your reputation locally is obvious, and that is the hardest part of this business to build.

But there's a structural problem underneath it that isn't anyone's fault. A website can list treatments; it can't take a booking at nine at night, and nine at night is when the decision gets made. Most spa sites hand that moment to a phone number and office hours. The client doesn't wait until morning to call. She books wherever the button was.

Here's my offer, and it's a simple one. Let me build Ann Webb Skin Clinic a homepage concept for free. I'll design it around exactly this problem, send it over, and you decide. There's no obligation and nothing to sign to see it — I'd rather show you what we do than tell you.

Should I put one together for you?

[Sender Name]
Bothmade","Subject: Ann Webb Skin Clinic — here it is

Here it is — Ann Webb Skin Clinic, as promised.

Everything a phone-first client needs in one screen: what it costs, what it looks like, and a slot on Thursday, without a phone call.

It's a design, not a live site — nothing on it actually clicks yet. I'd rather be straight about that than fake a working demo.

Two questions I'd genuinely like your answer to either way: would you let clients book without a consult call first? And is membership the thing you'd want pushed hardest here?

[Sender Name]","everyone arriving is already sold and wants a time, and the site is built to describe treatments instead","No website found in research. Look up the site and address, or call.",field-run-003;med-spa;TX,75,10000,"$5,000","$18,000",06082026
Anthony & Sylvan Pools,info@anthonysylvan.com,Pool building,Austin,TX,USA,https://anthonysylvan.com,cold-outreach,researched,"Subject: Austin · the backyard problem

Hi [First Name],

I went through your site in Austin the way a homeowner planning a pool does — trying to find a build that looks like their backyard, at roughly their number.

The builds are genuinely impressive, and this is a business that lives or dies on photography.

But there's a structural problem underneath it that isn't anyone's fault. The gallery is the product, and it's shown as one long scroll with no way to sort by size, style, budget or lot shape — so nobody finds the build that resembles their own yard. That's a $90k build going to the company that answered the money question first.

I'd like to build you one. A homepage concept for Anthony & Sylvan Pools, designed properly, at my expense — not a proposal, not a deck, the actual thing. Yours to keep whether we ever work together or not. Most people who see theirs want to talk. Some don't, and that's genuinely fine.

Want me to send one over?

[Sender Name]
Bothmade","Subject: the concept, as promised

Here it is — Anthony & Sylvan Pools, as promised.

The gallery sorted the way buyers actually choose, plus a timeline that says what happens between signing and swimming.

It's a static design rather than a working build, so nothing clicks. I'd rather show you the idea honestly than fake a demo.

Two questions either way: would you ever publish a starting price? And do people come to you with a design in mind, or a budget?

[Sender Name]","the gallery cannot be sorted by size or budget, so nobody finds a build that looks like their own yard","Confirm the inbox before sending — info@ is the convention, not a verified address.",field-run-003;pool-building;TX,75,10000,"$5,000","$18,000",06082026
Apex Homes,,Custom home building,Denver,CO,USA,,cold-outreach,researched,"Subject: what your enquiry form doesn't ask

Hi [First Name],

I spent a while in your portfolio the way a homeowner does: hunting for the project that matches their lot, their budget and their taste, in that order.

The work itself is the strongest thing you have, and the photography does show it.

But something structural is working against you, and it isn't anybody's fault. What people are actually frightened of is the process — eighteen months, their money, decisions they've never made before — and almost no builder's site addresses that anywhere, so the fear does its work in silence. So they leave without finding it, and go and look at the builder whose site let them filter.

Here's my offer, and it's a simple one. Let me build Apex Homes a homepage concept for free. I'll design it around exactly this problem, send it over, and you decide. There's no obligation and nothing to sign to see it — I'd rather show you what we do than tell you.

Say the word and I'll start on it — want it?

[Sender Name]
Bothmade","Subject: here it is

Here it is. Two minutes and you have seen it.

Projects sortable the way people actually choose, plus the process laid out month by month, because that's the thing they're really nervous about.

It's a design, not a live site — nothing on it actually clicks yet. I'd rather be straight about that than fake a working demo.

Two questions I'd genuinely like your view on, whether or not this goes anywhere: is budget band something you'd ever show publicly? And what's the one question you wish every enquiry answered before you called them?

[Sender Name]","the portfolio is the entire product and there is no way to sort it by budget, style or scope","No website found in research. Look up the site and address, or call.",field-run-003;custom-home-building;CO,75,22000,"$12,000","$35,000",06082026
AquaPools,,Pool building,Austin,TX,USA,,cold-outreach,researched,"Subject: what a pool buyer can't find

Hi [First Name],

I looked at AquaPools as somebody about to spend eighty thousand dollars on a backyard would: photos first, price second, everything else a distant third.

The builds are genuinely impressive, and this is a business that lives or dies on photography.

But there's a structural problem underneath it that isn't anyone's fault. The gallery is the product, and it's shown as one long scroll with no way to sort by size, style, budget or lot shape — so nobody finds the build that resembles their own yard. That's a $90k build going to the company that answered the money question first.

Here's what I'd like to do about it. I'll build AquaPools a homepage concept — a real one, designed for your business, not a template with your logo dropped in — and send it over. It costs you nothing and there's no obligation attached to it. If you like it we can talk. If you don't, you keep the ideas and I go away.

Say the word and I'll start on it — want it?

[Sender Name]
Bothmade","Subject: here it is

Here it is. Two minutes and you have seen it.

The gallery sorted the way buyers actually choose, plus a timeline that says what happens between signing and swimming.

It's a static design rather than a working build, so nothing clicks. I'd rather show you the idea honestly than fake a demo.

Two questions either way: would you ever publish a starting price? And do people come to you with a design in mind, or a budget?

[Sender Name]","the gallery cannot be sorted by size or budget, so nobody finds a build that looks like their own yard","No website found in research. Look up the site and address, or call.",field-run-003;pool-building;TX,75,10000,"$5,000","$18,000",06082026
Aquatic Pools and Spas,info@aquaticpoolaz.com,Pool building,Phoenix,AZ,USA,https://aquaticpoolaz.com,cold-outreach,researched,"Subject: Phoenix · the backyard problem

Hi [First Name],

I went through your site in Phoenix the way a homeowner planning a pool does — trying to find a build that looks like their backyard, at roughly their number.

The work looks excellent, and the reviews in this category are hard-won.

But something structural is working against you here, and it isn't anybody's fault. Everyone arrives with the same two questions — what does something like mine cost, and how long does it take — and almost no pool site answers either, so both become a phone call, and most people don't make it. So they keep scrolling, and eventually ring whoever showed them a pool like theirs.

Here's my offer, and it's a simple one. Let me build Aquatic Pools and Spas a homepage concept for free. I'll design it around exactly this problem, send it over, and you decide. There's no obligation and nothing to sign to see it — I'd rather show you what we do than tell you.

Want me to send one over?

[Sender Name]
Bothmade","Subject: Aquatic Pools and Spas — here it is

Here it is. Two minutes and you have seen it.

Builds filterable by size, style and budget band, with a rough range said out loud and a proper enquiry rather than a contact box.

It's a design, not a live site — nothing on it actually clicks yet. I'd rather be straight about that than fake a working demo.

Two questions either way: would you ever publish a starting price? And do people come to you with a design in mind, or a budget?

[Sender Name]","the gallery cannot be sorted by size or budget, so nobody finds a build that looks like their own yard","Confirm the inbox before sending — info@ is the convention, not a verified address.",field-run-003;pool-building;AZ,75,10000,"$5,000","$18,000",06082026
