vertical,niche,metro,mapsQuery,keepIf,typicalWebBudget,whyTheyBuy,targetRows
Medical & aesthetic,Plastic surgery,"Naples, FL","plastic surgeon Naples, FL",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$12k-35k,"Six-figure procedures, ad-funded, and the gallery is the product. Decisions made at night on a phone.",5
Medical & aesthetic,Plastic surgery,"Boca Raton, FL","plastic surgeon Boca Raton, FL",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$12k-35k,"Six-figure procedures, ad-funded, and the gallery is the product. Decisions made at night on a phone.",5
Medical & aesthetic,Plastic surgery,"Miami, FL","plastic surgeon Miami, FL",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$12k-35k,"Six-figure procedures, ad-funded, and the gallery is the product. Decisions made at night on a phone.",5
Medical & aesthetic,Plastic surgery,"Atlanta, GA","plastic surgeon Atlanta, GA",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$12k-35k,"Six-figure procedures, ad-funded, and the gallery is the product. Decisions made at night on a phone.",5
Medical & aesthetic,Plastic surgery,"Charlotte, NC","plastic surgeon Charlotte, NC",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$12k-35k,"Six-figure procedures, ad-funded, and the gallery is the product. Decisions made at night on a phone.",5
Medical & aesthetic,Plastic surgery,"Nashville, TN","plastic surgeon Nashville, TN",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$12k-35k,"Six-figure procedures, ad-funded, and the gallery is the product. Decisions made at night on a phone.",5
Medical & aesthetic,Plastic surgery,"Chicago, IL","plastic surgeon Chicago, IL",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$12k-35k,"Six-figure procedures, ad-funded, and the gallery is the product. Decisions made at night on a phone.",5
Medical & aesthetic,Plastic surgery,"Greenwich, CT","plastic surgeon Greenwich, CT",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$12k-35k,"Six-figure procedures, ad-funded, and the gallery is the product. Decisions made at night on a phone.",5
Medical & aesthetic,Plastic surgery,"Bethesda, MD","plastic surgeon Bethesda, MD",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$12k-35k,"Six-figure procedures, ad-funded, and the gallery is the product. Decisions made at night on a phone.",5
Medical & aesthetic,Plastic surgery,"Summerlin, NV","plastic surgeon Summerlin, NV",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$12k-35k,"Six-figure procedures, ad-funded, and the gallery is the product. Decisions made at night on a phone.",5
Medical & aesthetic,Med spa,"Scottsdale, AZ","med spa Scottsdale, AZ",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$6k-20k,"Membership revenue, heavy Instagram spend, booking usually lives on someone else’s platform.",5
Medical & aesthetic,Med spa,"Newport Beach, CA","med spa Newport Beach, CA",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$6k-20k,"Membership revenue, heavy Instagram spend, booking usually lives on someone else’s platform.",5
Medical & aesthetic,Med spa,"Irvine, CA","med spa Irvine, CA",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$6k-20k,"Membership revenue, heavy Instagram spend, booking usually lives on someone else’s platform.",5
Medical & aesthetic,Med spa,"San Diego, CA","med spa San Diego, CA",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$6k-20k,"Membership revenue, heavy Instagram spend, booking usually lives on someone else’s platform.",5
Medical & aesthetic,Med spa,"Beverly Hills, CA","med spa Beverly Hills, CA",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$6k-20k,"Membership revenue, heavy Instagram spend, booking usually lives on someone else’s platform.",5
Medical & aesthetic,Med spa,"Bellevue, WA","med spa Bellevue, WA",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$6k-20k,"Membership revenue, heavy Instagram spend, booking usually lives on someone else’s platform.",5
Medical & aesthetic,Med spa,"Denver, CO","med spa Denver, CO",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$6k-20k,"Membership revenue, heavy Instagram spend, booking usually lives on someone else’s platform.",5
Medical & aesthetic,Med spa,"Austin, TX","med spa Austin, TX",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$6k-20k,"Membership revenue, heavy Instagram spend, booking usually lives on someone else’s platform.",5
Medical & aesthetic,Med spa,"Dallas, TX","med spa Dallas, TX",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$6k-20k,"Membership revenue, heavy Instagram spend, booking usually lives on someone else’s platform.",5
Medical & aesthetic,Med spa,"The Woodlands, TX","med spa The Woodlands, TX",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$6k-20k,"Membership revenue, heavy Instagram spend, booking usually lives on someone else’s platform.",5
Medical & aesthetic,Med spa,"Naples, FL","med spa Naples, FL",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$6k-20k,"Membership revenue, heavy Instagram spend, booking usually lives on someone else’s platform.",5
Medical & aesthetic,Med spa,"Boca Raton, FL","med spa Boca Raton, FL",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$6k-20k,"Membership revenue, heavy Instagram spend, booking usually lives on someone else’s platform.",5
Medical & aesthetic,Med spa,"Miami, FL","med spa Miami, FL",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$6k-20k,"Membership revenue, heavy Instagram spend, booking usually lives on someone else’s platform.",5
Medical & aesthetic,Med spa,"Atlanta, GA","med spa Atlanta, GA",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$6k-20k,"Membership revenue, heavy Instagram spend, booking usually lives on someone else’s platform.",5
Medical & aesthetic,Med spa,"Charlotte, NC","med spa Charlotte, NC",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$6k-20k,"Membership revenue, heavy Instagram spend, booking usually lives on someone else’s platform.",5
Medical & aesthetic,Med spa,"Nashville, TN","med spa Nashville, TN",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$6k-20k,"Membership revenue, heavy Instagram spend, booking usually lives on someone else’s platform.",5
Medical & aesthetic,Med spa,"Chicago, IL","med spa Chicago, IL",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$6k-20k,"Membership revenue, heavy Instagram spend, booking usually lives on someone else’s platform.",5
Medical & aesthetic,Med spa,"Greenwich, CT","med spa Greenwich, CT",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$6k-20k,"Membership revenue, heavy Instagram spend, booking usually lives on someone else’s platform.",5
Medical & aesthetic,Med spa,"Bethesda, MD","med spa Bethesda, MD",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$6k-20k,"Membership revenue, heavy Instagram spend, booking usually lives on someone else’s platform.",5
Medical & aesthetic,Med spa,"Summerlin, NV","med spa Summerlin, NV",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$6k-20k,"Membership revenue, heavy Instagram spend, booking usually lives on someone else’s platform.",5
Medical & aesthetic,Cosmetic dentistry,"Scottsdale, AZ","cosmetic dentist Scottsdale, AZ",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$8k-25k,Veneer and implant cases are $15k+ each. One extra case pays for the site twice.,5
Medical & aesthetic,Cosmetic dentistry,"Newport Beach, CA","cosmetic dentist Newport Beach, CA",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$8k-25k,Veneer and implant cases are $15k+ each. One extra case pays for the site twice.,5
Medical & aesthetic,Cosmetic dentistry,"Irvine, CA","cosmetic dentist Irvine, CA",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$8k-25k,Veneer and implant cases are $15k+ each. One extra case pays for the site twice.,5
Medical & aesthetic,Cosmetic dentistry,"San Diego, CA","cosmetic dentist San Diego, CA",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$8k-25k,Veneer and implant cases are $15k+ each. One extra case pays for the site twice.,5
Medical & aesthetic,Cosmetic dentistry,"Beverly Hills, CA","cosmetic dentist Beverly Hills, CA",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$8k-25k,Veneer and implant cases are $15k+ each. One extra case pays for the site twice.,5
Medical & aesthetic,Cosmetic dentistry,"Bellevue, WA","cosmetic dentist Bellevue, WA",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$8k-25k,Veneer and implant cases are $15k+ each. One extra case pays for the site twice.,5
Medical & aesthetic,Cosmetic dentistry,"Denver, CO","cosmetic dentist Denver, CO",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$8k-25k,Veneer and implant cases are $15k+ each. One extra case pays for the site twice.,5
Medical & aesthetic,Cosmetic dentistry,"Austin, TX","cosmetic dentist Austin, TX",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$8k-25k,Veneer and implant cases are $15k+ each. One extra case pays for the site twice.,5
Medical & aesthetic,Cosmetic dentistry,"Dallas, TX","cosmetic dentist Dallas, TX",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$8k-25k,Veneer and implant cases are $15k+ each. One extra case pays for the site twice.,5
Medical & aesthetic,Cosmetic dentistry,"The Woodlands, TX","cosmetic dentist The Woodlands, TX",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$8k-25k,Veneer and implant cases are $15k+ each. One extra case pays for the site twice.,5
Medical & aesthetic,Cosmetic dentistry,"Naples, FL","cosmetic dentist Naples, FL",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$8k-25k,Veneer and implant cases are $15k+ each. One extra case pays for the site twice.,5
Medical & aesthetic,Cosmetic dentistry,"Boca Raton, FL","cosmetic dentist Boca Raton, FL",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$8k-25k,Veneer and implant cases are $15k+ each. One extra case pays for the site twice.,5
Medical & aesthetic,Cosmetic dentistry,"Miami, FL","cosmetic dentist Miami, FL",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$8k-25k,Veneer and implant cases are $15k+ each. One extra case pays for the site twice.,5
Medical & aesthetic,Cosmetic dentistry,"Atlanta, GA","cosmetic dentist Atlanta, GA",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$8k-25k,Veneer and implant cases are $15k+ each. One extra case pays for the site twice.,5
Medical & aesthetic,Cosmetic dentistry,"Charlotte, NC","cosmetic dentist Charlotte, NC",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$8k-25k,Veneer and implant cases are $15k+ each. One extra case pays for the site twice.,5
Medical & aesthetic,Cosmetic dentistry,"Nashville, TN","cosmetic dentist Nashville, TN",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$8k-25k,Veneer and implant cases are $15k+ each. One extra case pays for the site twice.,5
Medical & aesthetic,Cosmetic dentistry,"Chicago, IL","cosmetic dentist Chicago, IL",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$8k-25k,Veneer and implant cases are $15k+ each. One extra case pays for the site twice.,5
Medical & aesthetic,Cosmetic dentistry,"Greenwich, CT","cosmetic dentist Greenwich, CT",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$8k-25k,Veneer and implant cases are $15k+ each. One extra case pays for the site twice.,5
Medical & aesthetic,Cosmetic dentistry,"Bethesda, MD","cosmetic dentist Bethesda, MD",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$8k-25k,Veneer and implant cases are $15k+ each. One extra case pays for the site twice.,5
Medical & aesthetic,Cosmetic dentistry,"Summerlin, NV","cosmetic dentist Summerlin, NV",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$8k-25k,Veneer and implant cases are $15k+ each. One extra case pays for the site twice.,5
Medical & aesthetic,Dermatology (cosmetic),"Scottsdale, AZ","cosmetic dermatology Scottsdale, AZ",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$8k-25k,Elective side is pure margin and is usually buried under the medical side.,5
Medical & aesthetic,Dermatology (cosmetic),"Newport Beach, CA","cosmetic dermatology Newport Beach, CA",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$8k-25k,Elective side is pure margin and is usually buried under the medical side.,5
Medical & aesthetic,Dermatology (cosmetic),"Irvine, CA","cosmetic dermatology Irvine, CA",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$8k-25k,Elective side is pure margin and is usually buried under the medical side.,5
Medical & aesthetic,Dermatology (cosmetic),"San Diego, CA","cosmetic dermatology San Diego, CA",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$8k-25k,Elective side is pure margin and is usually buried under the medical side.,5
Medical & aesthetic,Dermatology (cosmetic),"Beverly Hills, CA","cosmetic dermatology Beverly Hills, CA",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$8k-25k,Elective side is pure margin and is usually buried under the medical side.,5
Medical & aesthetic,Dermatology (cosmetic),"Bellevue, WA","cosmetic dermatology Bellevue, WA",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$8k-25k,Elective side is pure margin and is usually buried under the medical side.,5
Medical & aesthetic,Dermatology (cosmetic),"Denver, CO","cosmetic dermatology Denver, CO",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$8k-25k,Elective side is pure margin and is usually buried under the medical side.,5
Medical & aesthetic,Dermatology (cosmetic),"Austin, TX","cosmetic dermatology Austin, TX",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$8k-25k,Elective side is pure margin and is usually buried under the medical side.,5
Medical & aesthetic,Dermatology (cosmetic),"Dallas, TX","cosmetic dermatology Dallas, TX",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$8k-25k,Elective side is pure margin and is usually buried under the medical side.,5
Medical & aesthetic,Dermatology (cosmetic),"The Woodlands, TX","cosmetic dermatology The Woodlands, TX",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$8k-25k,Elective side is pure margin and is usually buried under the medical side.,5
Medical & aesthetic,Dermatology (cosmetic),"Naples, FL","cosmetic dermatology Naples, FL",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$8k-25k,Elective side is pure margin and is usually buried under the medical side.,5
Medical & aesthetic,Dermatology (cosmetic),"Boca Raton, FL","cosmetic dermatology Boca Raton, FL",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$8k-25k,Elective side is pure margin and is usually buried under the medical side.,5
Medical & aesthetic,Dermatology (cosmetic),"Miami, FL","cosmetic dermatology Miami, FL",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$8k-25k,Elective side is pure margin and is usually buried under the medical side.,5
Medical & aesthetic,Dermatology (cosmetic),"Atlanta, GA","cosmetic dermatology Atlanta, GA",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$8k-25k,Elective side is pure margin and is usually buried under the medical side.,5
Medical & aesthetic,Dermatology (cosmetic),"Charlotte, NC","cosmetic dermatology Charlotte, NC",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$8k-25k,Elective side is pure margin and is usually buried under the medical side.,5
Medical & aesthetic,Dermatology (cosmetic),"Nashville, TN","cosmetic dermatology Nashville, TN",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$8k-25k,Elective side is pure margin and is usually buried under the medical side.,5
Medical & aesthetic,Dermatology (cosmetic),"Chicago, IL","cosmetic dermatology Chicago, IL",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$8k-25k,Elective side is pure margin and is usually buried under the medical side.,5
Medical & aesthetic,Dermatology (cosmetic),"Greenwich, CT","cosmetic dermatology Greenwich, CT",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$8k-25k,Elective side is pure margin and is usually buried under the medical side.,5
Medical & aesthetic,Dermatology (cosmetic),"Bethesda, MD","cosmetic dermatology Bethesda, MD",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$8k-25k,Elective side is pure margin and is usually buried under the medical side.,5
Medical & aesthetic,Dermatology (cosmetic),"Summerlin, NV","cosmetic dermatology Summerlin, NV",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$8k-25k,Elective side is pure margin and is usually buried under the medical side.,5
Medical & aesthetic,Fertility / IVF,"Scottsdale, AZ","fertility clinic Scottsdale, AZ",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$15k-35k,"Cycles are $20k+, the decision is long and researched, and the site carries all of it.",5
Medical & aesthetic,Fertility / IVF,"Newport Beach, CA","fertility clinic Newport Beach, CA",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$15k-35k,"Cycles are $20k+, the decision is long and researched, and the site carries all of it.",5
Medical & aesthetic,Fertility / IVF,"Irvine, CA","fertility clinic Irvine, CA",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$15k-35k,"Cycles are $20k+, the decision is long and researched, and the site carries all of it.",5
Medical & aesthetic,Fertility / IVF,"San Diego, CA","fertility clinic San Diego, CA",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$15k-35k,"Cycles are $20k+, the decision is long and researched, and the site carries all of it.",5
Medical & aesthetic,Fertility / IVF,"Beverly Hills, CA","fertility clinic Beverly Hills, CA",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$15k-35k,"Cycles are $20k+, the decision is long and researched, and the site carries all of it.",5
Medical & aesthetic,Fertility / IVF,"Bellevue, WA","fertility clinic Bellevue, WA",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$15k-35k,"Cycles are $20k+, the decision is long and researched, and the site carries all of it.",5
Medical & aesthetic,Fertility / IVF,"Denver, CO","fertility clinic Denver, CO",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$15k-35k,"Cycles are $20k+, the decision is long and researched, and the site carries all of it.",5
Medical & aesthetic,Fertility / IVF,"Austin, TX","fertility clinic Austin, TX",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$15k-35k,"Cycles are $20k+, the decision is long and researched, and the site carries all of it.",5
Medical & aesthetic,Fertility / IVF,"Dallas, TX","fertility clinic Dallas, TX",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$15k-35k,"Cycles are $20k+, the decision is long and researched, and the site carries all of it.",5
Medical & aesthetic,Fertility / IVF,"The Woodlands, TX","fertility clinic The Woodlands, TX",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$15k-35k,"Cycles are $20k+, the decision is long and researched, and the site carries all of it.",5
Medical & aesthetic,Fertility / IVF,"Naples, FL","fertility clinic Naples, FL",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$15k-35k,"Cycles are $20k+, the decision is long and researched, and the site carries all of it.",5
Medical & aesthetic,Fertility / IVF,"Boca Raton, FL","fertility clinic Boca Raton, FL",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$15k-35k,"Cycles are $20k+, the decision is long and researched, and the site carries all of it.",5
Medical & aesthetic,Fertility / IVF,"Miami, FL","fertility clinic Miami, FL",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$15k-35k,"Cycles are $20k+, the decision is long and researched, and the site carries all of it.",5
Medical & aesthetic,Fertility / IVF,"Atlanta, GA","fertility clinic Atlanta, GA",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$15k-35k,"Cycles are $20k+, the decision is long and researched, and the site carries all of it.",5
Medical & aesthetic,Fertility / IVF,"Charlotte, NC","fertility clinic Charlotte, NC",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$15k-35k,"Cycles are $20k+, the decision is long and researched, and the site carries all of it.",5
Medical & aesthetic,Fertility / IVF,"Nashville, TN","fertility clinic Nashville, TN",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$15k-35k,"Cycles are $20k+, the decision is long and researched, and the site carries all of it.",5
Medical & aesthetic,Fertility / IVF,"Chicago, IL","fertility clinic Chicago, IL",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$15k-35k,"Cycles are $20k+, the decision is long and researched, and the site carries all of it.",5
Medical & aesthetic,Fertility / IVF,"Greenwich, CT","fertility clinic Greenwich, CT",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$15k-35k,"Cycles are $20k+, the decision is long and researched, and the site carries all of it.",5
Medical & aesthetic,Fertility / IVF,"Bethesda, MD","fertility clinic Bethesda, MD",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$15k-35k,"Cycles are $20k+, the decision is long and researched, and the site carries all of it.",5
Medical & aesthetic,Fertility / IVF,"Summerlin, NV","fertility clinic Summerlin, NV",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$15k-35k,"Cycles are $20k+, the decision is long and researched, and the site carries all of it.",5
Luxury home & property,Custom home builders,"Scottsdale, AZ","custom home builder Scottsdale, AZ",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$12k-35k,Portfolio is the entire sale and it is nearly always an unsortable thumbnail grid.,5
Luxury home & property,Custom home builders,"Newport Beach, CA","custom home builder Newport Beach, CA",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$12k-35k,Portfolio is the entire sale and it is nearly always an unsortable thumbnail grid.,5
Luxury home & property,Custom home builders,"Irvine, CA","custom home builder Irvine, CA",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$12k-35k,Portfolio is the entire sale and it is nearly always an unsortable thumbnail grid.,5
Luxury home & property,Custom home builders,"San Diego, CA","custom home builder San Diego, CA",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$12k-35k,Portfolio is the entire sale and it is nearly always an unsortable thumbnail grid.,5
Luxury home & property,Custom home builders,"Beverly Hills, CA","custom home builder Beverly Hills, CA",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$12k-35k,Portfolio is the entire sale and it is nearly always an unsortable thumbnail grid.,5
Luxury home & property,Custom home builders,"Bellevue, WA","custom home builder Bellevue, WA",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$12k-35k,Portfolio is the entire sale and it is nearly always an unsortable thumbnail grid.,5
Luxury home & property,Custom home builders,"Denver, CO","custom home builder Denver, CO",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$12k-35k,Portfolio is the entire sale and it is nearly always an unsortable thumbnail grid.,5
