company,email,phone,industry,city,state,country,originalWebsite,source,status,personalisedColdEmail,mockupEmail,personalizedObservation,salesNote,tags,leadScore,estimatedValue,lowestEstimate,highestEstimate,dateAdded
Embark Dental,patientcare@embarkdentalnc.com,(828) 771-6319,Cosmetic dentistry,Asheville,NC,USA,https://embarkdentalnc.com,cold-outreach,researched,"Subject: the $15k case that didn't call

Hi [First Name],

A smile-makeover patient researches for months, alone, at night, on a phone. I did that to Embark Dental. Got as far as a phone number and a form.

That's the biggest case of the month deciding not to call you.

Cases first, filterable, a price range said out loud, and a booking that works at 9pm.

Let me build it for you. A real homepage for Embark Dental, on me, before we ever talk money. If it's good you'll know in ten seconds. If it isn't, you've lost nothing.

Worth a look? One word back and I'll start.

[Sender Name]
Bothmade","Subject: built it

Here it is — Embark Dental, as promised.

Cases at the top, filterable by treatment. The range stated in real numbers. Booking that doesn't need your front desk awake.

It's a design, not a build — nothing clicks yet. Didn't want to fake a demo.

One thing I'd want your read on: veneers or implants — which pays you better?

[Sender Name]",the cases and the price range are the two things a $15k patient wants and the two hardest things to reach,Address published by the business itself — verified in research.,field-run-010;cosmetic-dentistry;NC;confirmed-email,85,12000,"$6,000","$22,000",06082026
Exotic Designs Landscaping,info@exoticdesignslandscaping.com,(407) 468-9800,Landscape design build,Orlando,FL,USA,https://exoticdesignslandscaping.com,cold-outreach,researched,"Subject: the inquiry that arrives vague

Hi [First Name],

Your gardens are genuinely good. A design-led client chooses from images and yours can't be narrowed, so they never find the one that looks like their lot.

So the client who wanted exactly what you do never works out that you do it.

Projects filterable by style, scale and budget. The design process spelled out so the brief arrives specific.

So here's what I'll do. I'll build Exotic Designs Landscaping that homepage. Free. Not a slide, not a proposal — the actual page, designed for your business. Yours to keep whether you hire me or not.

Say yes and it's yours by Friday.

[Sender Name]
Bothmade","Subject: built it

Here it is.

Projects filterable by style, scale and budget band, with the design process spelled out — so the brief that reaches you already knows what it's asking for.

Static design, so nothing on it works yet. I'd rather show you the real idea than a fake demo.

One question: would publishing a design fee range help you or cost you?

[Sender Name]","design-led buyers choose from images and yours cannot be narrowed by style, scale or budget",Address published by the business itself — verified in research.,field-run-010;landscape-design-build;FL;confirmed-email,85,9000,"$5,000","$16,000",06082026
Flamingo Landscapes,info@flamingolandscapes.com,(407) 777-4877,Landscape design build,Orlando,FL,USA,https://flamingolandscapes.com,cold-outreach,researched,"Subject: design fee, unsaid

Hi [First Name],

Your gardens are genuinely good. A design-led client chooses from images and yours can't be narrowed, so they never find the one that looks like their lot.

So the client who wanted exactly what you do never works out that you do it.

Projects filterable by style, scale and budget. The design process spelled out so the brief arrives specific.

So here's what I'll do. I'll build Flamingo Landscapes that homepage. Free. Not a slide, not a proposal — the actual page, designed for your business. Yours to keep whether you hire me or not.

Want it?

[Sender Name]
Bothmade","Subject: here it is

Here it is — Flamingo Landscapes, as promised.

Projects filterable by style, scale and budget band, with the design process spelled out — so the brief that reaches you already knows what it's asking for.

Static design, so nothing on it works yet. I'd rather show you the real idea than a fake demo.

One question: would publishing a design fee range help you or cost you?

[Sender Name]","design-led buyers choose from images and yours cannot be narrowed by style, scale or budget",Address published by the business itself — verified in research.,field-run-010;landscape-design-build;FL;confirmed-email,85,9000,"$5,000","$16,000",06082026
Frameworks Homes,adrian@homesbyframeworks.com,(970) 568-4900,Custom home building,Fort Collins,CO,USA,https://homesbyframeworks.com,cold-outreach,researched,"Subject: your portfolio, sorted

Hi [First Name],

Went through Frameworks Homes' portfolio the way a couple with a lot and three million dollars does — hunting for the one house that looks like the one in their head. Couldn't sort by budget, style or scope. Just scrolled.

They don't email to ask. They go and look at the builder whose site let them filter.

Sort the work the way buyers actually choose, and put the process where the fear is.

So here's what I'll do. I'll build Frameworks Homes that homepage. Free. Not a slide, not a proposal — the actual page, designed for your business. Yours to keep whether you hire me or not.

Say yes and it's yours by Friday.

[Sender Name]
Bothmade","Subject: Frameworks Homes — built it

Built it. Here.

Projects sortable the way buyers choose, and the build process laid out month by month, which is the part they're actually frightened of.

Static design, so nothing on it works yet. I'd rather show you the real idea than a fake demo.

One question: would you ever show budget bands publicly, or is that a fight with your sales process?

[Sender Name]","the portfolio is the whole sale and there is no way to sort it by budget, style or scope",Address published by the business itself — verified in research.,field-run-010;custom-home-building;CO;confirmed-email,85,22000,"$12,000","$35,000",06082026
Haute Healing Oasis,info@hautehealingoasis.com,(203) 595-5304,Med spa,Stamford,CT,USA,https://hautehealingoasis.com,cold-outreach,researched,"Subject: reviews vs booking button

Hi [First Name],

Looked you up the way a new client does — evening, phone, already decided she wants tox, just picking where. Haute Healing Oasis won on reviews. Then booking meant calling in the morning.

She doesn't call in the morning. She books the spa that let her book at 9pm.

Treatments priced, bookable in two taps, reviews right beside them.

Here's my offer. I'll design that page for Haute Healing Oasis and send it over. No charge, no meeting to get it, no invoice at the end. Keep it either way — I'd rather you saw the work than read about it.

Worth a look? One word back and I'll start.

[Sender Name]
Bothmade","Subject: here it is

Built it. Here.

Treatments priced, bookable in two taps, reviews doing the closing right beside them. Memberships obvious instead of three pages deep.

Static design, so nothing on it works yet. I'd rather show you the real idea than a fake demo.

One question: would you let a new client book without a consult call first?

[Sender Name]",the reviews do the selling and the booking is a phone number that stops answering at five,Address published by the business itself — verified in research.,field-run-010;med-spa;CT;confirmed-email,85,10000,"$5,000","$18,000",06082026
Impeccable Pools,justin@impeccablepools.com,(559) 775-1100,Pool building,Clovis,CA,USA,https://impeccablepools.com,cold-outreach,researched,"Subject: your build gallery

Hi [First Name],

Your builds look excellent. I went looking for one like mine and scrolled past sixty that weren't. Then couldn't find a starting number.

So they call whoever showed them a pool like theirs, with a number attached.

Gallery filterable by size, style and budget. A starting number said out loud.

So here's what I'll do. I'll build Impeccable Pools that homepage. Free. Not a slide, not a proposal — the actual page, designed for your business. Yours to keep whether you hire me or not.

Say yes and it's yours by Friday.

[Sender Name]
Bothmade","Subject: Impeccable Pools — built it

Built it. Here.

Builds filterable by size, style and budget band, with a starting range stated plainly and a timeline from signing to swimming.

Static design, so nothing on it works yet. I'd rather show you the real idea than a fake demo.

One question: would you publish a starting price, or does that cost you more than it wins?

[Sender Name]","the gallery cannot be sorted, so nobody finds a build that looks like their own yard",Address published by the business itself — verified in research.,field-run-010;pool-building;CA;confirmed-email,85,10000,"$5,000","$18,000",06082026
J Allen Homes,info@jallenhomes.com,(970) 568-7455,Custom home building,Fort Collins,CO,USA,https://jallenhomes.com,cold-outreach,researched,"Subject: filtering your projects

Hi [First Name],

Your work is the sale. I looked at it the way a buyer does and there was no way to narrow it — no budget band, no style, no scope. Forty thumbnails and good luck.

And the inquiries that do land ask for a name and a message, so your first call is an interview instead of a conversation.

Portfolio filterable by budget band, style and scope. Inquiry that asks about the lot, the number and the timing.

I'd like to build it and show you. One homepage, designed for J Allen Homes, free. Not a template with your logo on it. The real thing, and it's yours whether we work together or not.

Worth a look? One word back and I'll start.

[Sender Name]
Bothmade","Subject: here it is

Here it is.

Portfolio filterable by budget, style and scope — so a couple with a specific project finds theirs in about nine seconds. Inquiry that arrives with the lot, the number and the timing on it.

It's a design, not a build — nothing clicks yet. Didn't want to fake a demo.

One thing I'd want your answer on: what do you wish every inquiry told you before you called them back?

[Sender Name]","the portfolio is the whole sale and there is no way to sort it by budget, style or scope",Address published by the business itself — verified in research.,field-run-010;custom-home-building;CO;confirmed-email,85,22000,"$12,000","$35,000",06082026
Kitchen and Bath Shop Alexandria,alexandria@bykbs.com,(703) 552-5067,Kitchen and bath remodeling,Alexandria,VA,USA,https://kitchenandbathshop.com,cold-outreach,researched,"Subject: quoting jobs that were never real

Hi [First Name],

Your before-and-afters sell this. They're in a small gallery you can't filter, so the woman with a galley kitchen never finds your galley kitchen.

So you spend Tuesday evening quoting jobs that were never real, and the real one went to whoever answered first.

Projects filterable by room, style and budget. A form that asks about the job, so it arrives ready to quote.

So here's what I'll do. I'll build Kitchen and Bath Shop Alexandria that homepage. Free. Not a slide, not a proposal — the actual page, designed for your business. Yours to keep whether you hire me or not.

Want me to build it?

[Sender Name]
Bothmade","Subject: Kitchen and Bath Shop Alexandria — built it

Here it is.

Before-and-afters filterable by room, style and budget band. The inquiry asks about the room, the scope and the timing — so it lands ready to quote instead of ready to interview.

Static design, so nothing on it works yet. I'd rather show you the real idea than a fake demo.

One question: what do you wish every inquiry told you before you called them back?

[Sender Name]",before-and-afters are what sell this and they sit in a gallery nobody can filter,Address published by the business itself — verified in research.,field-run-010;kitchen-and-bath-remodeling;VA;confirmed-email,85,8500,"$4,000","$15,000",06082026
Lucas Firmin Pools,lucas@lucasfirminpools.com,(225) 806-6118,Pool building,Baton Rouge,LA,USA,https://lucasfirminpools.com,cold-outreach,researched,"Subject: your build gallery

Hi [First Name],

Your builds look excellent. I went looking for one like mine and scrolled past sixty that weren't. Then couldn't find a starting number.

So they call whoever showed them a pool like theirs, with a number attached.

Gallery filterable by size, style and budget. A starting number said out loud.

So here's what I'll do. I'll build Lucas Firmin Pools that homepage. Free. Not a slide, not a proposal — the actual page, designed for your business. Yours to keep whether you hire me or not.

Should I send it over?

[Sender Name]
Bothmade","Subject: Lucas Firmin Pools — built it

Here it is.

Builds filterable by size, style and budget band, with a starting range stated plainly and a timeline from signing to swimming.

Static design, so nothing on it works yet. I'd rather show you the real idea than a fake demo.

One question: would you publish a starting price, or does that cost you more than it wins?

[Sender Name]","the gallery cannot be sorted, so nobody finds a build that looks like their own yard",Address published by the business itself — verified in research.,field-run-010;pool-building;LA;confirmed-email,85,10000,"$5,000","$18,000",06082026
Masters Medspa,stacey@masters-medspa.com,(949) 334-6003,Med spa,Irvine,CA,USA,https://masters-medspa.com,cold-outreach,researched,"Subject: your 9pm bookings

Hi [First Name],

Your reviews do the selling. I read them on my phone at 9pm in Irvine and I was sold. Then I hit a phone number and office hours.

A booking a night walks that way. Silently. No missed call, no voicemail, nothing to review on Monday.

Treatments priced, bookable in two taps, reviews right beside them.

So here's what I'll do. I'll build Masters Medspa that homepage. Free. Not a slide, not a proposal — the actual page, designed for your business. Yours to keep whether you hire me or not.

Want it?

[Sender Name]
Bothmade","Subject: built it

Here it is — Masters Medspa, as promised.

Treatments priced, bookable in two taps, reviews doing the closing right beside them. Memberships obvious instead of three pages deep.

Static design, so nothing on it works yet. I'd rather show you the real idea than a fake demo.

One question: would you let a new client book without a consult call first?

[Sender Name]",the reviews do the selling and the booking is a phone number that stops answering at five,Address published by the business itself — verified in research.,field-run-010;med-spa;CA;confirmed-email,85,10000,"$5,000","$18,000",06082026
My Kitchen and Bath,alexandria@mykitchenandbath.com,(703) 891-0056,Kitchen and bath remodeling,Alexandria,VA,USA,https://mykitchenandbath.com,cold-outreach,researched,"Subject: quoting jobs that were never real

Hi [First Name],

Looked at My Kitchen and Bath the way a homeowner with a sixty-thousand-dollar kitchen in mind does. Your finished work is good. There was no way to find a kitchen like mine, and no way to tell you what my job actually is.

That's a $60k kitchen going to the company whose site made it feel easy.

Projects filterable by room, style and budget. A form that asks about the job, so it arrives ready to quote.

Let me build it for you. A real homepage for My Kitchen and Bath, on me, before we ever talk money. If it's good you'll know in ten seconds. If it isn't, you've lost nothing.

Should I send it over?

[Sender Name]
Bothmade","Subject: here it is

Here it is — My Kitchen and Bath, as promised.

Before-and-afters filterable by room, style and budget band. The inquiry asks about the room, the scope and the timing — so it lands ready to quote instead of ready to interview.

It's a design, not a build — nothing clicks yet. Didn't want to fake a demo.

One question: what do you wish every inquiry told you before you called them back?

[Sender Name]",before-and-afters are what sell this and they sit in a gallery nobody can filter,Address published by the business itself — verified in research.,field-run-010;kitchen-and-bath-remodeling;VA;confirmed-email,85,8500,"$4,000","$15,000",06082026
ON Design and Remodeling,info@onremodeling.com,(800) 992-5997,Kitchen and bath remodeling,San Jose,CA,USA,https://onremodeling.com,cold-outreach,researched,"Subject: your before-and-afters

Hi [First Name],

Looked at ON Design and Remodeling the way a homeowner with a sixty-thousand-dollar kitchen in mind does. Your finished work is good. There was no way to find a kitchen like mine, and no way to tell you what my job actually is.

That's a $60k kitchen going to the company whose site made it feel easy.

Projects filterable by room, style and budget. A form that asks about the job, so it arrives ready to quote.

Let me build it for you. A real homepage for ON Design and Remodeling, on me, before we ever talk money. If it's good you'll know in ten seconds. If it isn't, you've lost nothing.

Want it?

[Sender Name]
Bothmade","Subject: here it is

Here it is.

Before-and-afters filterable by room, style and budget band. The inquiry asks about the room, the scope and the timing — so it lands ready to quote instead of ready to interview.

It's a design, not a build — nothing clicks yet. Didn't want to fake a demo.

One question: what do you wish every inquiry told you before you called them back?

[Sender Name]",before-and-afters are what sell this and they sit in a gallery nobody can filter,Address published by the business itself — verified in research.,field-run-010;kitchen-and-bath-remodeling;CA;confirmed-email,85,8500,"$4,000","$15,000",06082026
Old Town Design Build,info@oldtowndesignbuild.com,(970) 617-8983,Custom home building,Fort Collins,CO,USA,https://oldtowndesignbuild.com,cold-outreach,researched,"Subject: your portfolio, sorted

Hi [First Name],

Went through Old Town Design Build's portfolio the way a couple with a lot and three million dollars does — hunting for the one house that looks like the one in their head. Couldn't sort by budget, style or scope. Just scrolled.

That's a real project deciding you're not the one, on no evidence either way.

Sort the work the way buyers actually choose, and put the process where the fear is.

So here's what I'll do. I'll build Old Town Design Build that homepage. Free. Not a slide, not a proposal — the actual page, designed for your business. Yours to keep whether you hire me or not.

Want me to build it?

[Sender Name]
Bothmade","Subject: Old Town Design Build — built it

Here it is — Old Town Design Build, as promised.

Projects sortable the way buyers choose, and the build process laid out month by month, which is the part they're actually frightened of.

Static design, so nothing on it works yet. I'd rather show you the real idea than a fake demo.

One question: would you ever show budget bands publicly, or is that a fight with your sales process?

[Sender Name]","the portfolio is the whole sale and there is no way to sort it by budget, style or scope",Address published by the business itself — verified in research.,field-run-010;custom-home-building;CO;confirmed-email,85,22000,"$12,000","$35,000",06082026
Pacwest Builders,info@pacwesthomes.com,(541) 389-2089,Custom home building,Bend,OR,USA,https://pacwesthomes.com,cold-outreach,researched,"Subject: your portfolio, sorted

Hi [First Name],

Your work is the sale. I looked at it the way a buyer does and there was no way to narrow it — no budget band, no style, no scope. Forty thumbnails and good luck.

That's a real project deciding you're not the one, on no evidence either way.

Sort the work the way buyers actually choose, and put the process where the fear is.

So here's what I'll do. I'll build Pacwest Builders that homepage. Free. Not a slide, not a proposal — the actual page, designed for your business. Yours to keep whether you hire me or not.

Want it?

[Sender Name]
Bothmade","Subject: built it

Built it. Here.

Projects sortable the way buyers choose, and the build process laid out month by month, which is the part they're actually frightened of.

Static design, so nothing on it works yet. I'd rather show you the real idea than a fake demo.

One question: would you ever show budget bands publicly, or is that a fight with your sales process?

[Sender Name]","the portfolio is the whole sale and there is no way to sort it by budget, style or scope",Address published by the business itself — verified in research.,field-run-010;custom-home-building;OR;confirmed-email,85,22000,"$12,000","$35,000",06082026
R.B. Homes,info@rbhomesonline.com,(609) 924-7111,Custom home building,Hopewell,NJ,USA,https://rbhomesonline.com,cold-outreach,researched,"Subject: your portfolio, sorted

Hi [First Name],

Looked at R.B. Homes as a client would in Hopewell: trying to find the project that matches my lot and my number. Gave up before I found it.

They don't email to ask. They go and look at the builder whose site let them filter.

Sort the work the way buyers actually choose, and put the process where the fear is.

So here's what I'll do. I'll build R.B. Homes that homepage. Free. Not a slide, not a proposal — the actual page, designed for your business. Yours to keep whether you hire me or not.

Want me to build it?

[Sender Name]
Bothmade","Subject: R.B. Homes — built it

Here it is — R.B. Homes, as promised.

Projects sortable the way buyers choose, and the build process laid out month by month, which is the part they're actually frightened of.

Static design, so nothing on it works yet. I'd rather show you the real idea than a fake demo.

One question: would you ever show budget bands publicly, or is that a fight with your sales process?

[Sender Name]","the portfolio is the whole sale and there is no way to sort it by budget, style or scope",Address published by the business itself — verified in research.,field-run-010;custom-home-building;NJ;confirmed-email,85,22000,"$12,000","$35,000",06082026
